EFST_OVERTHRUSTMAX 凶砍最大值
EFST_ILLUSION 幻覺
EFST_HOVERING 懸停
EFST_WEAPONBLOCKING 武器抵禦
EFST_ANGELUS 天使之障壁
EFST_MARSHOFABYSS 深淵沼地
EFST_STEALTHFIELD 隱形力場
EFST_ADRENALINE2 所有速度激發
EFST_MANU_MATK 魔怒克的信念
EFST_NOEQUIPARMOR 卸除鎧甲
EFST_ENERGYCOAT 降低來自敵人的傷害
EFST_RENOVATIO 淨化
EFST_HIDING 隱匿
EFST_STRUP 衝刺
EFST_NOEQUIPHELM 卸除頭盔
EFST_ATTHASTE_POTION3 菠色克藥水, 毒藥瓶
EFST_ENDURE 霸體
EFST_TURNKICK_ON 依機率轉身踢準備姿勢
EFST_ENCHANTPOISON 塗毒
EFST_SPL_ATK 捕蟲堇妖果醬
EFST_BLESSING 天使之賜福
EFST_ONEHANDQUICKEN 單手劍攻擊速度增加
EFST_SPEARQUICKEN 長矛加速術
EFST_ASSUMPTIO 聖母之祈福
EFST_MAXIMIZE 武器值最大化
EFST_LG_REFLECTDAMAGE 反射傷害
EFST_PROTECTSHIELD 化學盾牌保護
EFST_MAGNIFICAT 聖母之頌歌
EFST_ATTHASTE_POTION1 集中藥水
EFST_POISONREACT 毒性反彈
EFST_MOVHASTE_HORSE 督察憑證
EFST_CRESCENTELBOW 而自己也會遭受部分傷害
EFST_SONG_OF_MANA 魔力之歌
EFST_KAAHI 凱阿希
EFST_ECHOSONG 回音之歌
EFST_PRESERVE 自由保護
EFST_WEAPONPERFECT 無視體型攻擊
EFST_PROVOKE 挑釁
EFST_EDP 致命塗毒
EFST_JOINTBEAT 巧打
EFST_PROVIDENCE 神祐之光
EFST_FIGHTINGSPIRIT 五號盧恩石 ; 提升鬥志
EFST_SATURDAY_NIGHT_FEVER 狂歡週末夜
EFST_TRUESIGHT 狙殺瞄準
EFST_CASH_PLUSONLYJOBEXP 名稱
EFST_ARMOR_PROPERTY 屬性變化卷軸
EFST_TENSIONRELAX 極速回復
EFST_DEATHHURT 污染之毒
EFST_IMPOSITIO 神威祈福
EFST_LEECHESEND 吸血之毒
EFST_REPRODUCE 可學習的技能只有1個
EFST_ACCELERATION 魔導機甲加速
EFST_NJ_NEN 念
EFST_FORCEOFVANGUARD 先鋒部隊
EFST_RG_CCONFINE_M 緊密的約束
EFST_PROPERTYWATER 水屬性附加
EFST_ADORAMUS 謳歌
EFST_GENTLETOUCH_ENERGYGAIN 點穴-救
EFST_NEUTRALBARRIER 中性防護罩
EFST_EARTHSCROLL 快樂的休息
EFST_TWOHANDQUICKEN 雙手劍攻擊速度增加
EFST_SUN_COMFORT 太陽的平安感
EFST_KYRIE 霸邪之陣
EFST_PROTECTARMOR 化學鎧甲保護
EFST_GIANTGROWTH 七號盧恩石 ; 巨人成長
EFST_AB_SECRAMENT 聖典
EFST_PARALYSE 麻痺之毒
EFST_PROPERTYGROUND 地屬性附加
EFST_DOUBLECASTING 雙倍投擲
EFST_RG_CCONFINE_S 緊密的約束
EFST_OVERHEAT 過熱
EFST_SPL_MATK 獨角飛馬之淚
EFST_DEEP_SLEEP 沉睡
EFST_RECOGNIZEDSPELL 魔法省悟
EFST_DEFENDER 光之盾
EFST_WEAPONPROPERTY 撒水祈福
EFST_S_LIFEPOTION 小型生命水
EFST_BLOODING 出血
EFST_REFRESH 一號盧恩石 ; 恢復
EFST_DODGE_ON 遭受敵人的遠距離, 魔法攻擊時
EFST_TARGET_BLOOD 異常狀態抵抗藥水
EFST_MELODYOFSINK 消沈旋律
EFST_CRUCIS 天使之光
EFST_SLOWCAST 減緩_詠唱
EFST_PROPERTYWIND 風屬性附加
EFST_ENCHANTBLADE 魔力劍
EFST_ADRENALINE 速度激發
EFST_MAGICMUSHROOM 狂笑之毒
EFST_ATTHASTE_POTION2 覺醒藥水
EFST_TOXIN 麻醉之毒
EFST_RAISINGDRAGON 增加最大 HP與 SP
EFST_HARMONIZE 和聲演奏
EFST_CLOAKINGEXCEED 可承受至一定次數的傷害
EFST_ASSUMPTIO2 聖母之祈福
EFST_THORNS_TRAP 荊棘陷阱
EFST_SLOWPOISON 緩毒術
EFST_CLOAKING 偽裝
EFST_CRITICALPERCENT 研磨劑
EFST_INSPIRATION 靈感
EFST_UNLIMITED_HUMMING_VOICE 無限哼唱聲
EFST_ANALYZE 解析
EFST_GENTLETOUCH_REVITALIZE 點穴-活
EFST_COUNTER_ON 依機率採還擊踢準備姿勢
EFST_GLORIA 幸運之頌歌
EFST_RUSH_WINDMILL 朝風車突擊
EFST_PYREXIA 熱病之毒
EFST_DANCE_WITH_WUG 與狼共舞
EFST_SWING 搖擺舞
EFST_MOON_COMFORT 月亮的平安感
EFST_MOONLIT_SERENADE 月光小夜曲
EFST_GENTLETOUCH_CHANGE 點穴-反
EFST_STRIPACCESSARY 卸除配件
EFST_INVISIBILITY 透明術
EFST_ABUNDANCE 六號盧恩石 ; 豐足
EFST_SHADOWFORM 魅影形態
EFST_AUTOSHADOWSPELL 自動魅影念咒
EFST_SHAPESHIFT 形態轉換
EFST_MANU_ATK 魔怒克的良機
EFST_MARIONETTE_MASTER 傀儡師的把戲
EFST_MARIONETTE 傀儡師的把戲
EFST_WZ_SIGHTBLASTER 火狩芽
EFST_LEXAETERNA 天使之怒
EFST_INFRAREDSCAN 紅外線掃瞄
EFST_ASPERSIO 撒水祈福
EFST_LERADS_DEW 雷拉多露水
EFST_VENOMBLEED 衰弱之毒
EFST_GS_GATLINGFEVER 格林狂熱
EFST_VITALITYACTIVATION 四號盧恩石 ; 活用體力
EFST_STONEHARDSKIN 九號盧恩石 ; 硬石皮膚
EFST_WEIGHTOVER90 不可使用攻擊, 技能
EFST_PROTECTHELM 化學頭盔保護
EFST_PLUSAVOIDVALUE 幻影的酒杯
EFST_OBLIVIONCURSE 失憶之毒
EFST_HEALPLUS 恢復力提升藥水
EFST_PROTECT_DEF 物理防禦藥水
EFST_CRITICALWOUND 致命傷口
EFST_PRESTIGE 威信
EFST_FOOD_DEX_CASH 
EFST_CARTBOOST 手推車加速
EFST_L_LIFEPOTION 中型生命水
EFST_WINDWALK 風之步
EFST_PROPERTYFIRE 火焰屬性附加
EFST_STRIKING 打擊強化
EFST_DOWNKICK_ON 依機率砸踢準備姿勢
EFST_PROPERTYDARK 
EFST_REFLECTSHIELD 反射盾
EFST_RIDING 騎寵出租中
EFST_LIGHTNINGWALK 閃電步
EFST_FROSTMISTY 結冰
EFST_COLD 液體冷卻彈
EFST_SPECIALZONE_SA_DELUGE 水元素領域
EFST_SPECIALZONE_SA_VIOLENTGALE 風元素領域
EFST_SPECIALZONE_SA_VOLCANO 火山爆發
EFST_HELLPOWER 地獄之權威
EFST_SAVAGE_STEAK 烤小野豬排
EFST_COCKTAIL_WARG_BLOOD 雞尾酒狼血
EFST_MINOR_BBQ 米洛斯燒烤
EFST_SIROMA_ICE_TEA 小雪獸冰茶
EFST_DROCERA_HERB_STEAMED 捕蟲草藥草煎
EFST_PUTTI_TAILS_NOODLES 畢帝特龍尾麵
EFST_STOMACHACHE 腹痛
EFST_PROTECTEXP 爸媽我愛您
EFST_ANGEL_PROTECT 天使的守護
EFST_EL_WAIT 精靈等待模式
EFST_EL_PASSIVE 精靈被動模式
EFST_EL_DEFENSIVE 精靈防禦模式
EFST_EL_OFFENSIVE 精靈攻擊模式
EFST_MORA_BUFF 穆拉水果
EFST_POPECOOKIE 教皇餅乾
EFST_VITALIZE_POTION 活化藥水
EFST_G_LIFEPOTION 速效生命水
EFST_ODINS_POWER 奧丁之神力
EFST_ATKER_ASPD 仙丹
EFST_ATKER_MOVESPEED 歸元丹
EFST_MONSTER_TRANSFORM 變身怪物
EFST_ENERVATION 面具 : 無力
EFST_GROOMY 面具 : 憂鬱
EFST_IGNORANCE 面具 : 無知
EFST_LAZINESS 面具 : 懶散)
EFST_UNLUCKY 面具 : 不幸
EFST_WEAKNESS 面具 : 衰弱
EFST_STEELBODY 金剛不壞
EFST_LG_REFLECTDAMAGE 反射傷害
EFST_MVPCARD_TAOGUNKA 塔奧群卡捲軸
EFST_MVPCARD_MISTRESS 蜂后捲軸
EFST_MVPCARD_ORCHERO 獸人英雄卷軸
EFST_MVPCARD_ORCLORD 獸人酋長捲軸
EFST_HANDICAPSTATE_NORECOVER 不可恢復狀態
EFST_EXTREMITYFIST 阿修羅霸凰拳
EFST_ATTHASTE_CASH ASPD 強化藥水
EFST_2011RWC 加油鞭炮
EFST_PHI_DEMON 古代神靈平安符
EFST_GM_BATTLE 戰鬥靈藥
EFST_GM_BATTLE2 高級戰鬥靈藥
EFST_2011RWC_SCROLL 紅色助推器
EFST_MEIKYOUSISUI 明鏡止水
EFST_IZAYOI 第16個夜晚
EFST_KG_KAGEHUMI 踏影
EFST_KYOMU 虛無飄妙之影
EFST_KAGEMUSYA 影子武士
EFST_ZANGETSU 變形的上弦月
EFST_GENSOU 陰月的幻影
EFST_AKAITSUKI 不祥的紅月
EFST_MYSTICPOWDER 神奇粉末
EFST_ACARAJE 阿卡拉傑油炸餅
EFST_M_LIFEPOTION 神奇生命水
EFST_FLOWER_LEAF 茂盛的花瓣
EFST_ZONGZI_POUCH_TRANS 端午節慶典
EFST_PACKING_ENVELOPE1 強烈的30秒
EFST_PACKING_ENVELOPE2 聰明的30秒
EFST_PACKING_ENVELOPE3 體力的30秒
EFST_PACKING_ENVELOPE4 魔力的30秒
EFST_PACKING_ENVELOPE5 輕盈的30秒
EFST_PACKING_ENVELOPE6 變快的30秒
EFST_PACKING_ENVELOPE7 可靠的30秒
EFST_PACKING_ENVELOPE8 安全的30秒
EFST_PACKING_ENVELOPE9 幸運的30秒
EFST_PACKING_ENVELOPE10 和諧得30秒
EFST_HELM_VERKANA 三號盧恩石
EFST_HELM_RHYDO 二號盧恩石
EFST_HELM_TURISUS 七號盧恩石
EFST_HELM_HAGALAS 九號盧恩石
EFST_HELM_ISIA 四號盧恩石
EFST_HELM_ASIR 五號盧恩石
EFST_HELM_URJ 六號盧恩石
EFST_S_HEALPOTION 強效恢復力藥水
EFST_BEEF_RIB_STEW 紅燒牛小排
EFST_PORK_RIB_STEW 紅燒豬小排
EFST_CHUSEOK_MONDAY 強化屬性
EFST_CHUSEOK_TUESDAY 強化屬性
EFST_CHUSEOK_WEDNESDAY 強化屬性
EFST_CHUSEOK_THURSDAY 強化屬性
EFST_CHUSEOK_FRIDAY 強化屬性
EFST_CHUSEOK_WEEKEND 強化屬性
