# http://openkore-brasil.com 
# http://revok.com.br/ 
# RO packet extractor v0 Revok [11:40 (UTC -03:00) 25-03-2014] 
# Unpacked or Unknown .exe Packer 
# Target: 2014-03-25aRagexe.exe 
# MD5: ?  CRC32: ? 
# MID Encryption keys are K: 1593005323 M: 341802953 A: 378471902
# PIN addfactor: 0x881234 and multfactor: 0x3498
# Storage Encryption keys are K: 050B6F79, 0202C179, 0E20120, 04FA43E3, 0179B6C8, 05973DF2, 07D8D6B, 08CB9ED9

# Packet ID | Packet Length | Packet Min Length | Repeat Factor | Packet Description
0369 7 7 0		send::actor_action
025B 6 6 0		PACKET_CZ_REQ_MAKINGITEM
01AF 4 4 0		PACKET_CZ_REQ_CHANGECART
01B9 6 6 1		receive::cast_cancelled (PACKET_ZC_DISPEL)
01CD 30 30 1	receive::sage_autospell (PACKET_ZC_AUTOSPELLLIST)
01CE 6 6 0		PACKET_CZ_SELECTAUTOSPELL
0443 8 8 0		send::skill_select (PACKET_CZ_SKILL_SELECT_RESPONSE)
01CF 28 28 1	receive::devotion (PACKET_ZC_DEVOTIONLIST)
01D0 8 8 1		receive::revolving_entity (PACKET_ZC_SPIRITS)
01E1 8 8 1		receive::revolving_entity (PACKET_ZC_SPIRITS2)
01D1 14 14 1	receive::blade_stop (PACKET_ZC_BLADESTOP)
01D2 10 10 1	receive::combo_delay (PACKET_ZC_COMBODELAY)
0094 6 6 0		send::actor_info_request (PACKET_CZ_REQNAME)
0095 30 30 1	receive::actor_info (PACKET_ZC_ACK_REQNAME)
0195 102 102 1	receive::actor_info (PACKET_ZC_ACK_REQNAMEALL)
0193 6 6 0		send::actor_name_request (PACKET_CZ_REQNAME_BYGID)
0175 6 6 0		PACKET_CZ_REQ_GUILD_MEMBER_INFO
0176 106 106 0	PACKET_ZC_ACK_GUILD_MEMBER_INFO
0079 53 53 1	receive::actor_connected (PACKET_ZC_NOTIFY_NEWENTRY)
019D 6 6 0		PACKET_CZ_CHANGE_EFFECTSTATE
014C -1 4 1		receive::guild_allies_enemy_list (PACKET_ZC_MYGUILD_BASIC_INFO)
014D 2 2 0		send::guild_check (PACKET_CZ_REQ_GUILD_MENUINTERFACE)
014E 6 6 1		receive::guild_master_member (PACKET_ZC_ACK_GUILD_MENUINTERFACE)
014F 6 6 0		send::guild_info_request (PACKET_CZ_REQ_GUILD_MENU)
0150 110 110 1	PACKET_ZC_GUILD_INFO
01B6 114 114 1	receive::guild_info (PACKET_ZC_GUILD_INFO2)
0151 6 6 0		send::guild_emblem_request (PACKET_CZ_REQ_GUILD_EMBLEM_IMG)
0152 -1 12 1	receive::guild_emblem (PACKET_ZC_GUILD_EMBLEM_IMG)
0153 -1 4 0		PACKET_CZ_REGISTER_GUILD_EMBLEM_IMG
0154 -1 4 1		receive::guild_members_list (PACKET_ZC_MEMBERMGR_INFO)
0166 -1 4 1		receive::guild_members_title_list (PACKET_ZC_POSITION_ID_NAME_INFO)
0155 -1 4 0		PACKET_CZ_REQ_CHANGE_MEMBERPOS
0156 -1 4 1		receive::guild_member_position_changed (PACKET_ZC_ACK_REQ_CHANGE_MEMBERS)
0157 6 6 0		PACKET_CZ_REQ_OPEN_MEMBER_INFO
0159 54 54 0	PACKET_CZ_REQ_LEAVE_GUILD
015A 66 66 1	receive::guild_leave (PACKET_ZC_ACK_LEAVE_GUILD)
015B 54 54 0	PACKET_CZ_REQ_BAN_GUILD
015C 90 90 1	receive::guild_expulsion (PACKET_ZC_ACK_BAN_GUILD)
015D 42 42 0	PACKET_CZ_REQ_DISORGANIZE_GUILD
015E 6 6 1		receive::guild_broken (PACKET_ZC_ACK_DISORGANIZE_GUILD_RESULT)
015F 42 42 1	PACKET_ZC_ACK_DISORGANIZE_GUILD
0160 -1 4 1		receive::guild_member_setting_list (PACKET_ZC_POSITION_INFO)
0161 -1 4 0		PACKET_CZ_REG_CHANGE_GUILD_POSITIONINFO
0162 -1 6 1		receive::guild_skills_list (PACKET_ZC_GUILD_SKILLINFO)
0163 -1 4 1		receive::guild_expulsionlist (PACKET_ZC_BAN_LIST)
0164 -1 4 1		PACKET_ZC_OTHER_GUILD_LIST
0165 30 30 0	PACKET_CZ_REQ_MAKE_GUILD
0167 3 3 1		receive::guild_create_result (PACKET_ZC_RESULT_MAKE_GUILD)
0168 14 14 0	PACKET_CZ_REQ_JOIN_GUILD
0169 3 3 1		receive::guild_invite_result (PACKET_ZC_ACK_REQ_JOIN_GUILD)
016A 30 30 1	receive::guild_request (PACKET_ZC_REQ_JOIN_GUILD)
016B 10 10 0	PACKET_CZ_JOIN_GUILD
0149 9 9 0		send::alignment (PACKET_CZ_REQ_GIVE_MANNER_POINT)
014A 6 6 1		receive::manner_message (PACKET_ZC_ACK_GIVE_MANNER_POINT)
014B 27 27 1	receive::GM_silence (PACKET_ZC_NOTIFY_MANNER_POINT_GIVEN)
016E 186 186 0	PACKET_CZ_GUILD_NOTICE
016F 182 182 1	receive::guild_notice (PACKET_ZC_GUILD_NOTICE)
017E -1 4 0		send::guild_chat (PACKET_CZ_GUILD_CHAT)
017F -1 4 1		receive::guild_chat (PACKET_ZC_GUILD_CHAT)
0165 30 30 0	PACKET_CZ_REQ_MAKE_GUILD
0166 -1 4 1		receive::guild_members_title_list (PACKET_ZC_POSITION_ID_NAME_INFO)
0167 3 3 1		receive::guild_create_result (PACKET_ZC_RESULT_MAKE_GUILD)
0168 14 14 0	PACKET_CZ_REQ_JOIN_GUILD
0169 3 3 1		receive::guild_invite_result (PACKET_ZC_ACK_REQ_JOIN_GUILD)
016A 30 30 1	receive::guild_request (PACKET_ZC_REQ_JOIN_GUILD)
016B 10 10 0	PACKET_CZ_JOIN_GUILD
016C 43 43 1	receive::guild_name (PACKET_ZC_UPDATE_GDID)
016C 43 43 1	receive::guild_name (PACKET_ZC_UPDATE_GDID)
016D 14 14 1	receive::guild_member_online_status (PACKET_ZC_UPDATE_CHARSTAT)
01F2 20 20 1	receive::guild_member_online_status (PACKET_ZC_UPDATE_CHARSTAT2)
0170 14 14 0	PACKET_CZ_REQ_ALLY_GUILD
0171 30 30 1	receive::guild_ally_request (PACKET_ZC_REQ_ALLY_GUILD)
0172 10 10 0	PACKET_CZ_ALLY_GUILD
0173 3 3 1		receive::guild_alliance (PACKET_ZC_ACK_REQ_ALLY_GUILD)
0174 -1 4 1		receive::guild_position_changed (PACKET_ZC_ACK_CHANGE_GUILD_POSITIONINFO)
0180 6 6 0		PACKET_CZ_REQ_HOSTILE_GUILD
0181 3 3 1		receive::guild_opposition_result (PACKET_ZC_ACK_REQ_HOSTILE_GUILD)
0182 106 106 1	receive::guild_member_add (PACKET_ZC_MEMBER_ADD)
0183 10 10 0	PACKET_CZ_REQ_DELETE_RELATED_GUILD
0184 10 10 1	receive::guild_unally (PACKET_ZC_DELETE_RELATED_GUILD)
0185 34 34 1	receive::guild_alliance_added (PACKET_ZC_ADD_RELATED_GUILD)
019E 2 2 1		receive::pet_capture_process (PACKET_ZC_START_CAPTURE)
019F 6 6 0		PACKET_CZ_TRYCAPTURE_MONSTER
01A0 3 3 1		receive::pet_capture_result (PACKET_ZC_TRYCAPTURE_MONSTER)
01A1 3 3 0		PACKET_CZ_COMMAND_PET
01A2 37 37 1	receive::pet_info (PACKET_ZC_PROPERTY_PET)
01A3 5 5 1		receive::pet_food (PACKET_ZC_FEED_PET)
01A4 11 11 1	receive::pet_info2 (PACKET_ZC_CHANGESTATE_PET)
01A5 26 26 0	PACKET_CZ_RENAME_PET
01A6 -1 4 1		receive::egg_list (PACKET_ZC_PETEGG_LIST)
01A7 4 4 0		PACKET_CZ_SELECT_PETEGG
01A8 4 4 0		PACKET_CZ_PETEGG_INFO
01A9 6 6 0		PACKET_CZ_PET_ACT
01AA 10 10 1	receive::pet_emotion (PACKET_ZC_PET_ACT)
01CA 3 3 0		PACKET_CZ_REQMAKINGHOMUN
01B0 11 11 1	receive::monster_typechange (PACKET_ZC_NPCSPRITE_CHANGE)
01B1 7 7 1		PACKET_ZC_SHOWDIGIT
01BA 26 26 0	PACKET_CZ_REMOVE_AID
01BB 26 26 0	PACKET_CZ_SHIFT
01BC 26 26 0	PACKET_CZ_RECALL
01BD 26 26 0	PACKET_CZ_RECALL_GID
01C0 2 2 0		PACKET_CZ_REQ_REMAINTIME
01C1 14 14 1	PACKET_ZC_REPLY_REMAINTIME
01C2 10 10 0	PACKET_ZC_INFO_REMAINTIME
01D3 35 35 0	receive::sound_effect (PACKET_ZC_SOUND)
01D5 -1 8 0		PACKET_CZ_INPUT_EDITDLGSTR
01D4 6 6 0		receive::npc_talk_text (PACKET_ZC_OPEN_EDITDLGSTR)
01DF 6 6 0		PACKET_CZ_REQ_ACCOUNTNAME
01F3 10 10 0	receive::misc_effect (PACKET_ZC_NOTIFY_EFFECT2)
0284 14 14 0	receive::GANSI_RANK (PACKET_ZC_NOTIFY_EFFECT3)
01FF 10 10 0	receive::high_jump (PACKET_ZC_HIGHJUMP)
01ED 2 2 0		PACKET_CZ_CHOPOKGI
01E7 2 2 0		PACKET_CZ_DORIDORI
01B7 6 6 0		PACKET_CZ_GUILD_ZENY
01F7 14 14 0	PACKET_CZ_JOIN_BABY
01E3 14 14 0	PACKET_CZ_JOIN_COUPLE
01CB 9 9 0		PACKET_CZ_MONSTER_TALK
01F9 6 6 0		PACKET_CZ_REQ_JOIN_BABY
01E5 6 6 0		PACKET_CZ_REQ_JOIN_COUPLE
0201 -1 4 0		receive::friend_list (PACKET_ZC_FRIENDS_LIST)
0203 10 10 0	PACKET_CZ_DELETE_FRIENDS
0205 26 26 0	receive::divorced (PACKET_ZC_DIVORCE)
0206 11 11 0	receive::friend_logon (PACKET_ZC_FRIENDS_STATE)
0207 34 34 0	receive::friend_request (PACKET_ZC_REQ_ADD_FRIENDS)
0208 14 14 0	send::friend_response (PACKET_CZ_ACK_REQ_ADD_FRIENDS)
0209 36 36 0	receive::friend_response (PACKET_ZC_ADD_FRIENDS_LIST)
020A 10 10 0	receive::friend_removed (PACKET_ZC_DELETE_FRIENDS)
020E 32 32 0	receive::taekwon_packets (PACKET_ZC_STARSKILL)
0212 26 26 0	PACKET_CZ_REQ_GIVE_MANNER_BYNAME
0213 26 26 0	PACKET_CZ_REQ_STATUS_GM
0214 42 42 0	PACKET_ZC_ACK_STATUS_GM
0215 6 6 0		receive::gospel_buff_aligned (PACKET_ZC_SKILLMSG)
0216 6 6 0		receive::adopt_reply (PACKET_ZC_BABYMSG)
0217 2 2 0		PACKET_CZ_BLACKSMITH_RANK
0218 2 2 0		PACKET_CZ_ALCHEMIST_RANK
0225 2 2 0		PACKET_CZ_TAEKWON_RANK
0219 282 282 0	receive::top10_blacksmith_rank (PACKET_ZC_BLACKSMITH_RANK)
021A 282 282 0	receive::top10_alchemist_rank (PACKET_ZC_ALCHEMIST_RANK)
0226 282 282 0	receive::top10_taekwon_rank (PACKET_ZC_TAEKWON_RANK)
0282 284 284 0	PACKET_ZC_GANGSI_RANK
021B 10 10 0	receive::blacksmith_points (PACKET_ZC_BLACKSMITH_POINT)
