EFST_PROVOKE プロボック
EFST_MELTDOWN メルトダウン
EFST_CARTBOOST カートブースト
EFST_SWORDREJECT リジェクトソード
EFST_MARIONETTE_MASTER マリオネットコントロール
EFST_MARIONETTE マリオネットコントロール
EFST_BLOODING 出血状態
EFST_JOINTBEAT ジョイントビート
EFST_PROTECTEXP ママ、パパ大好き
EFST_AUTOBERSERK オートバーサーク
EFST_STORMKICK_ON フェオリチャギの構え
EFST_DOWNKICK_ON ネリョチャギの構え
EFST_TURNKICK_ON トルリョチャギの構え
EFST_COUNTER_ON アプチャオルリギの構え
EFST_DODGE_ON 落法
EFST_STRUP スパート
EFST_PROPERTYDARK 武器属性付与
EFST_ADRENALINE2 フルアドレナリンラッシュ
EFST_PROPERTYTELEKINESIS 武器属性付与
EFST_SOULLINK 職業系魂付与状態
EFST_PLUSATTACKPOWER Atk上昇
EFST_PLUSMAGICPOWER Matkの上昇
EFST_KAIZEL カイゼル
EFST_KAAHI カアヒ
EFST_KAUPE カウプ
EFST_ONEHANDQUICKEN ワンハンドクイッケン
EFST_SUN_COMFORT 太陽の安楽
EFST_MOON_COMFORT 月の安楽
EFST_STAR_COMFORT 星の安楽
EFST_PRESERVE プリザーブ
EFST_CHASEWALK2 チェイスウォーク
EFST_DOUBLECASTING ダブルキャスティング
EFST_OVERTHRUSTMAX オーバートラストマックス
EFST_TAROTCARD 運命のタロットカード
EFST_CR_SHRINK シュリンク
EFST_WZ_SIGHTBLASTER サイトブラスター
EFST_RG_CCONFINE_M クローズコンファイン
EFST_RG_CCONFINE_S クローズコンファイン
EFST_GS_MADNESSCANCEL マッドネスキャンセラー
EFST_GS_GATLINGFEVER ガトリングフィーバー
EFST_EARTHSCROLL 楽しい状態
EFST_NJ_UTSUSEMI 空蝉
EFST_NJ_BUNSINJYUTSU 影分身
EFST_NJ_NEN 念
EFST_GS_ADJUSTMENT アジャストメント
EFST_GS_ACCURACY インクリージングアキュラシー
EFST_GRIFFON 騎乗中
EFST_FOOD_STR 料理
EFST_FOOD_AGI 料理
EFST_FOOD_VIT 料理
EFST_FOOD_DEX 料理
EFST_FOOD_INT 料理
EFST_FOOD_LUK 料理
EFST_FOOD_BASICAVOIDANCE 料理
EFST_FOOD_BASICHIT 料理
EFST_FOOD_CRITICALSUCCESSVALUE 料理
EFST_CASH_PLUSEXP 獲得経験値増加
EFST_CASH_DEATHPENALTY [SP]生命保険証
EFST_CASH_RECEIVEITEM ドロップ率増加
EFST_FOOD_STR_CASH [SP]料理
EFST_FOOD_AGI_CASH [SP]料理
EFST_FOOD_VIT_CASH [SP]料理
EFST_FOOD_DEX_CASH [SP]料理
EFST_FOOD_INT_CASH [SP]料理
EFST_FOOD_LUK_CASH [SP]料理
EFST_SLOWCAST スローキャスト
EFST_CRITICALWOUND 致命的な傷
EFST_MOVHASTE_HORSE 移動速度増加
EFST_PROTECT_DEF 物理防御力増加ポーション
EFST_PROTECT_MDEF 魔法防御力増加ポーション
EFST_HEALPLUS 回復力増加ポーション
EFST_S_LIFEPOTION 小型生命水
EFST_L_LIFEPOTION 中型生命水
EFST_CRITICALPERCENT 研磨剤
EFST_PLUSAVOIDVALUE 歓迎のさかずき
EFST_ATKER_ASPD ディファンダン
EFST_TARGET_ASPD メンタルポーション
EFST_ATKER_MOVESPEED テチョンダン
EFST_ATKER_BLOOD SP消費量減少ポーション
EFST_TARGET_BLOOD 状態異常抵抗ポーション
EFST_ARMOR_PROPERTY 鎧属性変更スクロール
EFST_HELLPOWER ヘルの権能
EFST_STEAMPACK 収監中
EFST_CASH_PLUSONLYJOBEXP 獲得経験値増加
EFST_PARTYFLEE 吹け！春風！
EFST_ANGEL_PROTECT 天使の守護
EFST_ENCHANTBLADE エンチャントブレイド
EFST_REFRESH リフレッシュ
EFST_GIANTGROWTH ジャイアントグロース
EFST_STONEHARDSKIN ストーンハードスキン
EFST_VITALITYACTIVATION バイタリティアクティベーション
EFST_FIGHTINGSPIRIT ファイティングスピリット
EFST_ABUNDANCE アバンダンス
EFST_CLOAKINGEXCEED クローキングエクシード
EFST_HALLUCINATIONWALK ハルシネーションウォーク
EFST_RENOVATIO レノヴァティオ
EFST_WEAPONBLOCKING ウェポンブロッキング
EFST_EXPIATIO エクスピアティオ
EFST_POISONINGWEAPON ポイズニングウェポン
EFST_TOXIN トキシン
EFST_PARALYSE パラライズ
EFST_VENOMBLEED ベナムブリード
EFST_MAGICMUSHROOM マジックマッシュルーム
EFST_DEATHHURT デスハート
EFST_PYREXIA パイアレクシア
EFST_OBLIVIONCURSE オブリビオンカース
EFST_LEECHESEND リーチエンド
EFST_FROSTMISTY 氷結状態
EFST_FEARBREEZE フィアーブリーズ
EFST_MARSHOFABYSS マーシュオブアビス
EFST_RECOGNIZEDSPELL リコグナイズドスペル
EFST_STASIS ステイシス状態
EFST_WUGRIDER ウォーグ騎乗中
EFST_ACCELERATION アクセラレーション
EFST_HOVERING ホバーリング
EFST_MVPCARD_TAOGUNKA タオグンカスクロール
EFST_MVPCARD_MISTRESS ミストレススクロール
EFST_MVPCARD_ORCHERO オークヒーロースクロール
EFST_MVPCARD_ORCLORD オークロードスクロール
EFST_OVERHEAT オーバーヒート状態
EFST_SHAPESHIFT シェイプシフト
EFST_INFRAREDSCAN インフラレッドスキャン
EFST_MAGNETICFIELD マグネティックフィールド状態
EFST_NEUTRALBARRIER ニュートラルバリアー
EFST_STEALTHFIELD ステルスフィールド
EFST_MANU_ATK マヌクの豪気
EFST_MANU_DEF マヌクの意志
EFST_SPL_ATK ピンギキュラの果実ジャム
EFST_SPL_DEF ルシオラヴェスパのハチ蜜
EFST_REPRODUCE リプロデュース
EFST_MANU_MATK マヌクの信念
EFST_SPL_MATK コルヌスの涙
EFST_STR_SCROLL Str増加スクロール
EFST_INT_SCROLL Int増加スクロール
EFST_LG_REFLECTDAMAGE リフレクトダメージ
EFST_FORCEOFVANGUARD フォースオブバンガード
EFST_AUTOSHADOWSPELL オートシャドウスペル
EFST_SHADOWFORM シャドウフォーム
EFST_SHIELDSPELL_DEF シールドスペルLv1
EFST_SHIELDSPELL_MDEF シールドスペルLv2
EFST_SHIELDSPELL_REF シールドスペルLv3
EFST_BODYPAINT ボディペインティング
EFST_EXEEDBREAK イクシードブレイク
EFST_ADORAMUS アドラムス
EFST_PRESTIGE プレスティージ
EFST_INVISIBILITY インビジビリティ
EFST_DEADLYINFECT デッドリーインフェクト
EFST_BANDING バンディング
EFST_INSPIRATION インスピレーション
EFST_ENERVATION マスカレード：エナベーション
EFST_GROOMY マスカレード：グルーミー
EFST_RAISINGDRAGON 潜龍昇天
EFST_IGNORANCE マスカレード：イグノアランス
EFST_LAZINESS マスカレード：レイジーネス
EFST_LIGHTNINGWALK 閃電歩
EFST_ACARAJE アカラジェ
EFST_UNLUCKY マスカレード：アンラッキー
EFST_CURSEDCIRCLE_TARGET 呪縛陣状態
EFST_WEAKNESS マスカレード：ウィークネス
EFST_STRIPACCESSARY アクセサリー解除状態
EFST_POPECOOKIE 教皇のクッキー
EFST_GENTLETOUCH_ENERGYGAIN 点穴-球-
EFST_GENTLETOUCH_CHANGE 点穴-反-
EFST_GENTLETOUCH_REVITALIZE 点穴-活-
EFST_SWING スイングダンス
EFST_SYMPHONY_LOVE 恋人たちの為のシンフォニー
EFST_DEEP_SLEEP 深い睡眠状態
EFST_SIRCLEOFNATURE 循環する自然の音
EFST_COLD 冷凍状態
EFST_GLOOMYDAY メランコリー
EFST_SONG_OF_MANA マナの歌
EFST_DANCE_WITH_WUG ダンスウィズウォーグ
EFST_RUSH_WINDMILL 風車に向かって突撃
EFST_ECHOSONG エコーの歌
EFST_HARMONIZE ハーモナイズ
EFST_STRIKING ストライキング
EFST_WARMER ウォーマー
EFST_MOONLIT_SERENADE 月明かりのセレナーデ
EFST_SATURDAY_NIGHT_FEVER 狂乱状態
EFST_ANALYZE アナライズ
EFST_LERADS_DEW レーラズの霧
EFST_MELODYOFSINK メロディーオブシンク
EFST_BEYOND_OF_WARCRY ビヨンドオブウォークライ
EFST_UNLIMITED_HUMMING_VOICE エンドレスハミングボイス
EFST_GN_CARTBOOST カートブースト
EFST_THORNS_TRAP ソーントラップ
EFST_MANDRAGORA 精神衝撃状態
EFST_AB_SECRAMENT サクラメント
EFST_ASSUMPTIO2 [SP]アスムプティオ
EFST_STOMACHACHE 腹痛状態
EFST_PROMOTE_HEALTH_RESERCH HP増加ポーション
EFST_ENERGY_DRINK_RESERCH SP増加ポーション
EFST_EXTRACT_WHITE_POTION_Z 濃縮ホワイトポーションZ
EFST_VITATA_500 ビタタ500
EFST_EXTRACT_SALAMINE_JUICE 濃縮サラマインジュース
EFST_VACUUM_EXTREME バキュームエクストリーム状態
EFST_SAVAGE_STEAK サベージの丸焼き
EFST_COCKTAIL_WARG_BLOOD カクテルウォーグブラッド
EFST_MINOR_BBQ ミノタウロスのカルビ
EFST_SIROMA_ICE_TEA シロマアイスティー
EFST_DROCERA_HERB_STEAMED ドロセラのハーブ煮
EFST_PUTTI_TAILS_NOODLES プティットのしっぽ麺
EFST_MORA_BUFF モーラベリー
EFST_PAIN_KILLER ペインキラー
EFST_G_LIFEPOTION 迅速な命の水
EFST_VITALIZE_POTION 活性化ポーション
EFST_LIGHT_OF_REGENE 再生の光
EFST_OVERED_BOOST オーバードブースト
EFST_ODINS_POWER オーディンの力
EFST_STYLE_CHANGE スタイルチェンジ
EFST_MAGMA_FLOW マグマフロー
EFST_GRANITIC_ARMOR グラニティックアーマー
EFST_PYROCLASTIC パイロクラスティック
EFST_VOLCANIC_ASH 火山灰状態
EFST_MAGIC_CANDY 魔法キャンデー
EFST_ALL_RIDING 騎乗中
EFST_MACRO_POSTDELAY マクロディレイ
EFST_OVERLAPEXPUP サポート魔法
EFST_CRUSHSTRIKE クラッシュストライク
EFST_MONSTER_TRANSFORM 変身中
EFST_SIT 座る
EFST_MACRO_PERMIT マクロ
EFST_SKF_CAST 詠唱時間減少
EFST_SKF_ASPD 攻撃速度増加
EFST_SKF_ATK Atk増加
EFST_SKF_MATK Matk増加
EFST_REWARD_PLUSONLYJOBEXP Job経験値増加
EFST_HANDICAPSTATE_NORECOVER 回復不能状態
EFST_SET_NUM_DEF [SP]Def固定
EFST_SET_NUM_MDEF [SP]Mdef固定
EFST_SET_PER_DEF [SP]Def固定
EFST_SET_PER_MDEF [SP]Mdef固定
EFST_MEIKYOUSISUI 明鏡止水
EFST_ATTHASTE_CASH [SP]ASPD強化ポーション
EFST_2011RWC 応援爆竹
EFST_IZAYOI 十六夜
EFST_KG_KAGEHUMI 幻術 -影踏み-
EFST_KYOMU 幻術 -虚無の影-
EFST_KAGEMUSYA 幻術 -分身-
EFST_ZANGETSU 幻術 -残月-
EFST_PHI_DEMON 古代精霊のお守り
EFST_GENSOU 幻術 -朧幻想-
EFST_AKAITSUKI 幻術 -紅月-
EFST_GM_BATTLE 戦闘薬
EFST_GM_BATTLE2 高級戦闘薬
EFST_2011RWC_SCROLL レッドブースター
EFST_MYSTICPOWDER ミスティックパウダー
EFST_M_LIFEPOTION 神妙な命の水
EFST_FLOWER_LEAF ふんだんなの花つの
EFST_RAY_OF_PROTECTION 守護の光
EFST_GLASTHEIM_ATK 力の加護
EFST_GLASTHEIM_DEF 魔法の盾
EFST_GLASTHEIM_HEAL 聖なる力
EFST_GLASTHEIM_HIDDEN 不思議な力
EFST_GLASTHEIM_STATE ステータス増加
EFST_GLASTHEIM_ITEMDEF 守護の力
EFST_GLASTHEIM_HPSP HPSP増加
EFST_ALMIGHTY 攻撃力増加
EFST_GVG_GIANT 霜巨人の血
EFST_GVG_GOLEM ゴーレムの核
EFST_GVG_STUN 妖精の涙（スタン）
EFST_GVG_STONE 妖精の涙（石化）
EFST_GVG_FREEZ 妖精の涙（凍結）
EFST_GVG_SLEEP 妖精の涙（睡眠）
EFST_GVG_CURSE 妖精の涙（呪い）
EFST_GVG_SILENCE 妖精の涙（沈黙）
EFST_GVG_BLIND 妖精の涙（暗黒）
EFST_JP_EVENT01 ハッピーハロウィン
EFST_JP_EVENT02 残影ウォーム
EFST_JP_EVENT03 ノピティギウォーム
EFST_JP_EVENT04 変身中
EFST_GEFFEN_MAGIC1 リディアの応援
EFST_GEFFEN_MAGIC2 ロキの応援
EFST_GEFFEN_MAGIC3 ケイオスの応援
EFST_QUEST_BUFF1 未精製エネルギー
EFST_QUEST_BUFF2 精製されたエネルギー
EFST_QUEST_BUFF3 高純度エネルギー
EFST_HANDICAPSTATE_ICEEXPLO 凍結爆弾
EFST_FENRIR_CARD フェンリルの力
EFST_PC_STOP 移動不可
EFST_FRIGG_SONG フリッグの歌
EFST_OFFERTORIUM オフェルトリウム
EFST_TELEKINESIS_INTENSE テレキネシスインテンス
EFST_FULL_THROTTLE フルスロットル
EFST_REBOUND リバウンド
EFST_UNLIMIT アンリミット
EFST_KINGS_GRACE キングスグレイス
EFST_ITEM_ATKMAX MAX ATK
EFST_ITEM_ATKMIN MIN ATK
EFST_ITEM_MATKMAX MAX MATK
EFST_ITEM_MATKMIN MIN MATK
EFST_DARKCROW ダーククロー
EFST_2013_VALENTINE1 No Text
EFST_2013_VALENTINE2 No Text
EFST_2013_VALENTINE3 No Text
EFST_CHILL 永久霜
EFST_BURNT 獄炎呪
EFST_JITTER_BUFF1 No Text
EFST_JITTER_BUFF2 No Text
EFST_JITTER_BUFF3 No Text
EFST_JITTER_BUFF4 No Text
EFST_JITTER_BUFF5 No Text
EFST_JITTER_BUFF6 No Text
EFST_JITTER_BUFF7 No Text
EFST_JITTER_BUFF8 No Text
EFST_JITTER_BUFF9 No Text
EFST_JITTER_BUFF10 No Text
EFST_CUP_OF_BOZA ボザのコップ
EFST_B_TRAP バインド状態
EFST_E_CHAIN エターナルチェーン
EFST_C_MARKER 烙印状態
EFST_H_MINE リモート爆弾
EFST_P_ALTER プラチナムアルター
EFST_HEAT_BARREL ヒートバレル
EFST_ANTI_M_BLAST アンチマテリアルブラスト
EFST_SWORDCLAN ソードクラン
EFST_ARCWANDCLAN アークワンドクラン
EFST_GOLDENMACECLAN ゴールデンメイスクラン
EFST_CROSSBOWCLAN クロスボウクラン
EFST_PACKING_ENVELOPE1 福音
EFST_PACKING_ENVELOPE2 残影ウォーム
EFST_PACKING_ENVELOPE3 ノピティギウォーム
EFST_PACKING_ENVELOPE5 霧氷の加護
EFST_PACKING_ENVELOPE6 劈風の加護
EFST_PACKING_ENVELOPE7 豊穣の加護
EFST_PACKING_ENVELOPE8 死の呪い
EFST_PACKING_ENVELOPE9 竜の眷属
EFST_PACKING_ENVELOPE10 邪眼の呪い
EFST_GLASTHEIM_TRANS 黄昏
EFST_ZONGZI_POUCH_TRANS 端午の節句
EFST_HEAT_BARREL_AFTER ヒートバレルペナルティ
EFST_OVERSEAEXPUP 台湾イベントバフ
EFST_BEEF_RIB_STEW スペアリブ
EFST_PORK_RIB_STEW No Text
EFST_CHUSEOK_MONDAY 月の加護
EFST_CHUSEOK_TUESDAY 火の加護
EFST_CHUSEOK_WEDNESDAY 水の加護
EFST_CHUSEOK_THURSDAY 木の加護
EFST_CHUSEOK_FRIDAY 金の加護
EFST_CHUSEOK_WEEKEND 里の加護
EFST_JUMPINGCLAN ジャンピングクラン
EFST_JP_OTP サポート魔法
EFST_HANDICAPTOLERANCE_LEVELGAP リリーフポーション
EFST_PAD_READER_KNIGHT 皇帝への献身
EFST_PAD_READER_CRUSADER 魔力空間
EFST_PAD_READER_WIZARD ガチャドラの加護
EFST_PAD_READER_SAGE ガチャドラの加護
EFST_PAD_READER_PRIEST ガチャドラの加護
EFST_PAD_READER_MONK ガチャドラの加護
EFST_PAD_READER_HUNTER ガチャドラの加護
EFST_PAD_READER_BARD ガチャドラの加護
EFST_PAD_READER_DANCER ガチャドラの加護
EFST_PAD_READER_TAEKWON ガチャドラの加護
EFST_PAD_READER_NINJA ガチャドラの加護
EFST_PAD_READER_GUNSLINGER ガチャドラの加護
EFST_PAD_READER_SUPERNOVICE ガチャドラの加護
EFST_MTF_MARIONETTE 生存者の証
EFST_MTF_LUDE 生存者の証
EFST_MTF_CRUISER 生存者の証
EFST_BODYSTATE_STONECURSE 石化状態
EFST_BODYSTATE_FREEZING 凍結状態
EFST_BODYSTATE_STUN スタン状態
EFST_BODYSTATE_SLEEP 睡眠状態
EFST_BODYSTATE_STONECURSE_ING 石化進行中
EFST_BODYSTATE_BURNNING 発火状態
EFST_BODYSTATE_IMPRISON ホワイトインプリズン状態
EFST_HEALTHSTATE_POISON 毒状態
EFST_HEALTHSTATE_CURSE 呪い状態
EFST_HEALTHSTATE_SILENCE 沈黙状態
EFST_HEALTHSTATE_CONFUSION 混乱状態
EFST_HEALTHSTATE_HEAVYPOISON 猛毒状態
EFST_HEALTHSTATE_FEAR 恐怖状態
EFST_SU_STOOP うずくまる
EFST_CATNIPPOWDER イヌハッカシャワー
EFST_SV_ROOTTWIST マタタビの根っこ
EFST_ATTACK_PROPERTY_NOTHING 武器属性付与
EFST_ATTACK_PROPERTY_WATER 武器属性付与
EFST_ATTACK_PROPERTY_GROUND 武器属性付与
EFST_ATTACK_PROPERTY_FIRE 武器属性付与
EFST_ATTACK_PROPERTY_WIND 武器属性付与
EFST_ATTACK_PROPERTY_POISON 武器属性付与
EFST_ATTACK_PROPERTY_SAINT 武器属性付与
EFST_ATTACK_PROPERTY_DARKNESS 武器属性付与
EFST_ATTACK_PROPERTY_TELEKINESIS 武器属性付与
EFST_ATTACK_PROPERTY_UNDEAD 武器属性付与
EFST_RESIST_PROPERTY_NOTHING 無属性攻撃耐性
EFST_RESIST_PROPERTY_WATER 水属性攻撃耐性
EFST_RESIST_PROPERTY_GROUND 地属性攻撃耐性
EFST_RESIST_PROPERTY_FIRE 火属性攻撃耐性
EFST_RESIST_PROPERTY_WIND 風属性攻撃耐性
EFST_RESIST_PROPERTY_POISON 毒属性攻撃耐性
EFST_RESIST_PROPERTY_SAINT 聖属性攻撃耐性
EFST_RESIST_PROPERTY_DARKNESS 闇属性攻撃耐性
EFST_RESIST_PROPERTY_TELEKINESIS 念属性攻撃耐性
EFST_RESIST_PROPERTY_UNDEAD 不死属性攻撃耐性
EFST_BITESCAR タロウの傷
EFST_ARCLOUSEDASH アクラウスダッシュ
EFST_TUNAPARTY マグロシールド
EFST_SHRIMP エビ三昧
EFST_FRESHSHRIMP 新鮮なエビ
EFST_HELM_VERKANA ベルカナの増幅
EFST_HELM_RHYDO ライゾの増幅
EFST_HELM_TURISUS スリサズの増幅
EFST_HELM_HAGALAS ハガラズの増幅
EFST_HELM_ISIA イスの増幅
EFST_HELM_ASIR エイシルの増幅
EFST_HELM_URJ ウルズの増幅
EFST_SUHIDE かくれる
EFST_DORAM_BUF_01 カルーニャミルク
EFST_DORAM_BUF_02 バジル
EFST_SPRITEMABLE にゃん魂
EFST_HISS 警戒
EFST_NYANGGRASS ニャングラス
EFST_CHATTERING チャタリング
EFST_GROOMING グルーミング
EFST_PROTECTIONOFSHRIMP エビパーティー
EFST_GS_MAGICAL_BULLET マジカルバレット
EFST_BLAZE_BEAD 破滅の呪印
EFST_BREEZE_BEAD 属性耐性低下
EFST_PRONTERA_JP プロンテラ軍丸薬
EFST_CHEERUP ママ、パパ、頑張って
EFST_ALL_STAT_DOWN オールステータスダウン
EFST_GRADUAL_GRAVITY 重力増加
EFST_LIGHTOFMOON 月の光
EFST_LIGHTOFSUN 太陽の光
EFST_LIGHTOFSTAR 星の光
EFST_LUNARSTANCE 月の構え
EFST_UNIVERSESTANCE 宇宙の構え
EFST_SUNSTANCE 太陽の構え
EFST_FLASHKICK 星の印
EFST_NEWMOON 朔月
EFST_STARSTANCE 星の構え
EFST_DIMENSION 次元の書
EFST_DIMENSION1 次元の書(新星爆発)
EFST_CREATINGSTAR 創星の書
EFST_FALLINGSTAR 流星落下
EFST_NOVAEXPLOSING 新星爆発
EFST_GRAVITYCONTROL 重力調節
EFST_SOULCOLLECT 魂の蓄積
EFST_SOULREAPER 魂の収穫
EFST_SOULUNITY 魂の連結
EFST_SOULSHADOW 影の魂
EFST_SOULFAIRY 妖精の魂
EFST_SOULFALCON 鷹の魂
EFST_SOULGOLEM ゴーレムの魂
EFST_SOULDIVISION 魂の分裂
EFST_ABYSS_001 死の呪い
EFST_ABYSS_002 闇の王冠
EFST_ABYSS_003 光の王冠
EFST_ABYSS_004 霧の王冠
EFST_ABYSS_005 魔力空間
EFST_ABYSS_006 皇帝への献身
EFST_ABYSS_007 竜の眷属
EFST_ABYSS_008 邪眼の呪い
EFST_WEAPONBLOCK_ON カウンタースラッシュ状態
EFST_LEAPIMPAIRED 跳躍阻害
EFST_SOULCURSE 死霊憑依
EFST_HELPANGEL 天使さま助けて
EFST_JPNONLY_TACTICS 猪突猛進
EFST_AIRSHIP_PIPE Atk増加
EFST_PIECES_OF_SHADOW Def増加

# = custom jRO =
EFST_BARRIER Barrier
EFST_POSTDELAY Delay

EFST_INVULNERABILITY Invulnerability
EFST_STOP Stop

EFFECTSTATE_BIRD Falcon
EFFECTSTATE_BURROW Hiding
EFFECTSTATE_CHICKEN Pecopeco
EFFECTSTATE_SANTA Santa

HEALTHSTATE_POISON Poisoned
HEALTHSTATE_CURSE Cursed
HEALTHSTATE_SILENCE Silenced
HEALTHSTATE_CONFUSION Signum Crisis
HEALTHSTATE_BLIND Blinded
HEALTHSTATE_ANGELUS Angelus
HEALTHSTATE_BLOODING Bleeding
HEALTHSTATE_HEAVYPOISON Deadly Poison

BODYSTATE_STONECURSE Petrified
EFST_GOSPEL Gospel
EFST_ON_PUSH_CART Cart
