ID	Name	Level	Hp	AttackRange	SkillRange	AttackDelay	AttackMotion	Size	Race	Element	ElementLevel	ChaseRange	Ai	isAIMode_Aggressive	isAIMode_Looter	isAIMode_Assist	isAIMode_CanMove	isAIMode_CastSensorIdle	isAIMode_CastSensorChase	isAIMode_MVP	isAIMode_KnockbackImmune	isAIMode_Detector	isAIMode_TakesFixed_1_Damage_Melee	isAIMode_TakesFixed_1_Damage_Ranged	isAIMode_TakesFixed_1_Damage_Magic	isAIMode_TakesFixed_1_Damage_None
1045	Marc	56	1963	1	10	1272	72	Medium	Fish	Water	2	12	04	1	0	0	1	0	0	0	0	0	0	0	0	0
1046	Doppelganger	77	380000	1	10	480	480	Medium	Demon	Shadow	3	12	21	1	0	0	1	1	1	1	1	1	0	0	0	0
1047	Peco Peco Egg	7	70	0	10	1001	1	Small	Formless	Neutral	3	12	06	0	0	0	0	0	0	0	0	0	0	0	0	0
1048	Thief Bug Egg	20	290	0	10	701	1	Small	Insect	Shadow	1	12	06	0	0	0	0	0	0	0	0	1	0	0	0	0
1049	Picky	9	70	1	10	988	288	Small	Brute	Fire	1	12	01	0	0	0	1	0	0	0	0	0	0	0	0	0
1050	Picky	10	77	1	10	988	288	Small	Brute	Fire	1	12	01	0	0	0	1	0	0	0	0	0	0	0	0	0
1051	Thief Bug	21	238	1	10	1288	288	Small	Insect	Neutral	3	12	02	0	1	0	1	0	0	0	0	1	0	0	0	0
1052	Rocker	15	155	1	10	1864	864	Medium	Insect	Earth	1	12	01	0	0	0	1	0	0	0	0	1	0	0	0	0
1053	Thief Bug Female	28	475	1	10	988	288	Medium	Insect	Shadow	1	12	07	0	1	1	1	0	0	0	0	1	0	0	0	0
1054	Thief Bug Male	30	537	1	10	988	288	Medium	Insect	Shadow	1	12	13	1	0	1	1	0	0	0	0	1	0	0	0	0
1055	Muka	23	337	1	10	1960	960	Large	Plant	Earth	1	12	01	0	0	0	1	0	0	0	0	0	0	0	0	0
1056	Smokie	29	414	1	10	1576	576	Small	Brute	Earth	1	12	17	0	0	0	1	1	0	0	0	0	0	0	0	0
1057	Yoyo	38	694	1	10	1054	54	Small	Brute	Earth	1	12	07	0	1	1	1	0	0	0	0	0	0	0	0	0
1058	Metaller	55	1487	1	10	1708	1008	Medium	Insect	Fire	1	12	07	0	1	1	1	0	0	0	0	1	0	0	0	0
1059	Mistress	78	378000	1	10	1148	648	Small	Insect	Wind	4	12	21	1	0	0	1	1	1	1	1	1	0	0	0	0
1060	Bigfoot	29	506	1	10	1260	192	Large	Brute	Earth	1	12	17	0	0	0	1	1	0	0	0	0	0	0	0	0
1061	Nightmare	69	2366	1	10	1816	816	Large	Demon	Ghost	3	12	20	1	0	0	1	1	1	0	0	1	0	0	0	0
1062	Santa Poring	3	69	1	10	1672	672	Medium	Plant	Holy	1	12	01	0	0	0	1	0	0	0	0	0	0	0	0	0
1063	Lunatic	3	48	1	10	1456	456	Small	Brute	Neutral	3	12	01	0	0	0	1	0	0	0	0	0	0	0	0	0
1064	Megalodon	46	1249	1	10	2492	792	Medium	Undead	Undead	1	12	01	0	0	0	1	0	0	0	0	0	0	0	0	0
1065	Strouf	61	2746	1	10	1872	672	Large	Fish	Water	3	12	04	1	0	0	1	0	0	0	0	0	0	0	0	0
1066	Vadon	45	1091	1	10	1632	432	Small	Fish	Water	1	12	17	0	0	0	1	1	0	0	0	0	0	0	0	0
1067	Cornutus	48	1229	1	10	1248	48	Small	Fish	Water	1	12	17	0	0	0	1	1	0	0	0	0	0	0	0	0
1068	Hydra	34	661	7	10	800	432	Small	Plant	Water	2	12	10	1	0	0	0	0	0	0	0	0	0	0	0	0
1069	Swordfish	57	2203	1	10	1968	768	Large	Fish	Water	2	12	04	1	0	0	1	0	0	0	0	0	0	0	0	0
1070	Kukre	42	962	1	10	1776	576	Small	Fish	Water	1	12	02	0	1	0	1	0	0	0	0	0	0	0	0	0
1071	Pirate Skeleton	48	1351	1	10	1754	554	Medium	Undead	Undead	1	12	04	1	0	0	1	0	0	0	0	0	0	0	0	0
1072	Kaho	98	7229	1	10	1700	1000	Medium	Demon	Fire	4	12	04	1	0	0	1	0	0	0	0	1	0	0	0	0
1073	Crab	43	1004	1	7	992	792	Small	Fish	Water	1	12	01	0	0	0	1	0	0	0	0	0	0	0	0	0
1074	Shellfish	50	1326	1	10	864	864	Small	Fish	Water	1	12	17	0	0	0	1	1	0	0	0	0	0	0	0	0
1076	Skeleton	27	445	1	10	2228	528	Medium	Undead	Undead	1	12	17	0	0	0	1	1	0	0	0	0	0	0	0	0
1077	Poison Spore	26	379	1	10	1672	672	Medium	Plant	Poison	1	12	04	1	0	0	1	0	0	0	0	0	0	0	0	0
1078	Red Plant	1	5	1	7	1	1	Small	Plant	Earth	1	12	06	0	0	0	0	0	0	0	1	0	1	1	1	1
1079	Blue Plant	1	10	1	7	1	1	Small	Plant	Earth	1	12	06	0	0	0	0	0	0	0	1	0	1	1	1	1
1080	Green Plant	1	5	1	7	1	1	Small	Plant	Earth	1	12	06	0	0	0	0	0	0	0	1	0	1	1	1	1
1081	Yellow Plant	1	6	1	7	1	1	Small	Plant	Earth	1	12	06	0	0	0	0	0	0	0	1	0	1	1	1	1
1082	White Plant	1	7	1	7	1	1	Small	Plant	Earth	1	12	06	0	0	0	0	0	0	0	1	0	1	1	1	1
1083	Shining Plant	1	20	1	7	1	1	Small	Plant	Holy	1	12	06	0	0	0	0	0	0	0	1	0	1	1	1	1
1084	Black Mushroom	1	5	1	7	1	1	Small	Plant	Earth	1	12	06	0	0	0	0	0	0	0	1	0	1	1	1	1
1085	Red Mushroom	1	5	1	7	1	1	Small	Plant	Earth	1	12	06	0	0	0	0	0	0	0	1	0	1	1	1	1
1086	Golden Thief Bug	65	222750	1	10	768	768	Large	Insect	Fire	2	12	07	0	1	1	1	0	0	1	1	1	0	0	0	0
1087	Orc Hero	50	362000	1	10	1678	780	Large	Demi-Human	Earth	2	12	21	1	0	0	1	1	1	1	1	1	0	0	0	0
1088	Vocal	18	3317	1	10	1080	648	Medium	Insect	Earth	1	12	21	1	0	0	1	1	1	0	0	1	0	0	0	0
1089	Toad	27	660	1	10	1236	336	Medium	Fish	Water	1	12	21	1	0	0	1	1	1	0	1	1	0	0	0	0
1090	Mastering	42	1260	1	10	1072	672	Medium	Plant	Water	1	12	21	1	0	0	1	1	1	0	1	1	0	0	0	0
1091	Dragon Fly	47	1035	1	10	1076	576	Small	Insect	Wind	1	12	21	1	0	0	1	1	1	0	1	1	0	0	0	0
1092	Vagabond Wolf	93	8203	1	10	1048	648	Medium	Brute	Earth	1	12	21	1	0	0	1	1	1	0	1	1	0	0	0	0
1093	Eclipse	31	625	1	10	1456	456	Medium	Brute	Neutral	3	12	21	1	0	0	1	1	1	0	1	1	0	0	0	0
1094	Ambernite	19	265	1	10	2048	648	Large	Insect	Water	1	12	17	0	0	0	1	1	0	0	0	1	0	0	0	0
1095	Andre	33	537	1	10	1288	288	Small	Insect	Earth	1	12	01	0	0	0	1	0	0	0	0	1	0	0	0	0
1096	Angeling	77	19800	1	10	1072	672	Medium	Angel	Holy	4	12	21	1	0	0	1	1	1	0	1	1	0	0	0	0
1097	Ant Egg	28	469	0	10	1001	1	Small	Formless	Neutral	3	12	06	0	0	0	0	0	0	0	0	0	0	0	0	0
1098	Anubis	105	38826	1	10	1250	720	Large	Demi-Human	Undead	2	12	21	1	0	0	1	1	1	0	0	0	0	0	0	0
1099	Argiope	75	3570	1	10	1792	792	Large	Insect	Poison	1	12	21	1	0	0	1	1	1	0	0	1	0	0	0	0
1100	Argos	47	1300	1	10	1468	468	Large	Insect	Poison	1	12	19	1	0	0	1	1	0	0	0	1	0	0	0	0
1101	Baphomet Jr.	57	1763	1	10	868	480	Small	Demon	Shadow	1	12	21	1	0	0	1	1	1	0	0	1	0	0	0	0
1102	Bathory	86	6040	1	10	1504	840	Medium	Demi-Human	Shadow	1	12	21	1	0	0	1	1	1	0	0	0	0	0	0	0
1103	Caramel	25	319	1	10	1604	840	Small	Brute	Earth	1	12	17	0	0	0	1	1	0	0	0	0	0	0	0	0
1104	Coco	38	694	1	10	1864	864	Small	Brute	Earth	1	12	17	0	0	0	1	1	0	0	0	0	0	0	0	0
1105	Deniro	31	480	1	10	1288	288	Small	Insect	Earth	1	12	01	0	0	0	1	0	0	0	0	1	0	0	0	0
1106	Desert Wolf	103	10244	1	10	1120	420	Medium	Brute	Fire	1	12	13	1	0	1	1	0	0	0	0	0	0	0	0	0
1107	Baby Desert Wolf	14	113	1	10	1600	900	Small	Brute	Fire	1	12	01	0	0	0	1	0	0	0	0	0	0	0	0	0
1108	Deviace	60	2324	1	10	1680	480	Medium	Fish	Water	4	12	17	0	0	0	1	1	0	0	0	0	0	0	0	0
1109	Deviruchi	93	7165	1	10	980	600	Small	Demon	Shadow	1	12	21	1	0	0	1	1	1	0	0	1	0	0	0	0
1110	Dokebi	68	2561	1	10	1156	456	Small	Demon	Shadow	1	12	17	0	0	0	1	1	0	0	0	1	0	0	0	0
1111	Drainliar	47	1182	1	10	1276	576	Small	Brute	Shadow	2	12	19	1	0	0	1	1	0	0	0	0	0	0	0	0
1112	Drake	91	804500	1	10	620	420	Medium	Undead	Undead	1	12	21	1	0	0	1	1	1	1	1	1	0	0	0	0
1113	Drops	2	46	1	10	1372	672	Medium	Plant	Fire	1	12	02	0	1	0	1	0	0	0	0	0	0	0	0	0
1114	Dustiness	62	1849	1	10	1004	504	Small	Insect	Wind	2	12	17	0	0	0	1	1	0	0	0	1	0	0	0	0
1115	Eddga	65	947500	1	10	872	1344	Large	Brute	Fire	1	12	21	1	0	0	1	1	1	1	1	1	0	0	0	0
1116	Eggyra	53	1236	1	10	1816	816	Medium	Formless	Ghost	2	12	17	0	0	0	1	1	0	0	0	0	0	0	0	0
1117	Evil Druid	80	4720	1	10	2276	576	Large	Undead	Undead	4	12	21	1	0	0	1	1	1	0	0	0	0	0	0	0
1118	Flora	59	2065	3	10	1432	432	Large	Plant	Earth	1	12	10	1	0	0	0	0	0	0	0	0	0	0	0	0
1119	Frilldora	57	1587	1	10	1540	720	Medium	Brute	Fire	1	12	04	1	0	0	1	0	0	0	0	0	0	0	0	0
1120	Ghostring	90	26700	1	10	1220	1080	Medium	Demon	Ghost	4	12	21	1	0	0	1	1	1	0	1	1	0	0	0	0
1121	Giearth	42	866	1	10	1848	1296	Small	Demon	Earth	1	12	17	0	0	0	1	1	0	0	0	1	0	0	0	0
1122	Goblin	48	1107	1	10	1120	620	Medium	Demi-Human	Wind	1	12	21	1	0	0	1	1	1	0	0	0	0	0	0	0
1123	Goblin	44	943	1	10	1320	620	Medium	Demi-Human	Fire	1	12	19	1	0	0	1	1	0	0	0	0	0	0	0	0
1124	Goblin	44	1047	1	10	1624	624	Medium	Demi-Human	Poison	1	12	13	1	0	1	1	0	0	0	0	0	0	0	0	0
1125	Goblin	49	1277	1	10	1624	624	Medium	Demi-Human	Earth	1	12	13	1	0	1	1	0	0	0	0	0	0	0	0	0
1126	Goblin	56	1877	1	10	3074	1874	Medium	Demi-Human	Water	1	12	13	1	0	1	1	0	0	0	0	0	0	0	0	0
1127	Hode	63	2347	1	10	1480	480	Medium	Brute	Earth	2	12	01	0	0	0	1	0	0	0	0	0	0	0	0	0
1128	Horn	32	564	1	10	1528	528	Medium	Insect	Earth	1	12	17	0	0	0	1	1	0	0	0	1	0	0	0	0
1129	Horong	66	1701	1	10	1888	1152	Small	Formless	Fire	4	12	13	1	0	1	1	0	0	0	0	0	0	0	0	0
1130	Jakk	63	1901	1	10	1180	480	Medium	Formless	Fire	2	12	21	1	0	0	1	1	1	0	0	0	0	0	0	0
1131	Joker	90	6425	1	10	1364	864	Large	Demi-Human	Wind	4	12	21	1	0	0	1	1	1	0	0	0	0	0	0	0
1132	Khalitzburg	118	27456	1	10	528	1000	Large	Undead	Undead	1	12	21	1	0	0	1	1	1	0	0	0	0	0	0	0
1133	Kobold	107	13522	1	10	1028	528	Medium	Demi-Human	Wind	2	12	13	1	0	1	1	0	0	0	0	0	0	0	0	0
1134	Kobold	102	11280	1	10	1528	528	Medium	Demi-Human	Poison	2	12	13	1	0	1	1	0	0	0	0	0	0	0	0	0
1135	Kobold	101	9503	1	10	1228	528	Medium	Demi-Human	Fire	2	12	13	1	0	1	1	0	0	0	0	0	0	0	0	0
1136	Kobold	31	10	1	10	1528	528	Medium	Demi-Human	Poison	2	12	13	1	0	1	1	0	0	0	1	1	0	0	0	0
1137	Kobold	31	10	1	10	1228	528	Medium	Demi-Human	Fire	2	12	13	1	0	1	1	0	0	0	1	1	0	0	0	0
1138	Magnolia	53	1545	1	10	1054	504	Small	Demon	Water	1	12	02	0	1	0	1	0	0	0	0	1	0	0	0	0
1139	Mantis	65	2363	1	10	1528	660	Medium	Insect	Earth	1	12	19	1	0	0	1	1	0	0	0	1	0	0	0	0
1140	Marduk	73	3099	1	10	1540	840	Large	Demi-Human	Fire	1	12	19	1	0	0	1	1	0	0	0	0	0	0	0	0
1141	Marina	42	1010	1	10	2280	1080	Small	Plant	Water	2	12	01	0	0	0	1	0	0	0	0	0	0	0	0	0
1142	Marine Sphere	51	1831	1	10	1201	1	Small	Plant	Water	2	12	06	0	0	0	0	0	0	0	0	0	0	0	0	0
1143	Marionette	90	4089	1	10	1480	480	Small	Demon	Ghost	3	12	19	1	0	0	1	1	0	0	0	1	0	0	0	0
1144	Marse	47	1241	1	10	1956	756	Small	Fish	Water	2	12	17	0	0	0	1	1	0	0	0	0	0	0	0	0
1145	Martin	39	769	1	10	1480	480	Small	Brute	Earth	2	12	01	0	0	0	1	0	0	0	0	0	0	0	0	0
1146	Matyr	58	2002	1	10	432	432	Medium	Brute	Shadow	1	12	19	1	0	0	1	1	0	0	0	0	0	0	0	0
1147	Maya	55	380000	1	10	864	1000	Large	Insect	Earth	4	12	21	1	0	0	1	1	1	1	1	1	0	0	0	0
1148	Medusa	102	11280	1	10	1720	1320	Medium	Demon	Neutral	2	12	21	1	0	0	1	1	1	0	0	1	0	0	0	0
1149	Minorous	58	1729	1	10	1360	960	Large	Brute	Fire	2	12	19	1	0	0	1	1	0	0	0	0	0	0	0	0
1150	Moonlight Flower	79	324000	1	10	1276	576	Medium	Demon	Fire	3	12	21	1	0	0	1	1	1	1	1	1	0	0	0	0
1151	Myst	49	1404	1	10	1576	576	Large	Formless	Poison	1	12	21	1	0	0	1	1	1	0	0	0	0	0	0	0
1152	Orc Skeleton	53	1699	1	10	2420	720	Medium	Undead	Undead	1	12	04	1	0	0	1	0	0	0	0	0	0	0	0	0
1153	Orc Zombie	51	1586	1	10	2852	1152	Medium	Undead	Undead	1	12	04	1	0	0	1	0	0	0	0	0	0	0	0	0
1154	Pasana	79	3020	1	10	976	576	Medium	Demi-Human	Fire	2	12	19	1	0	0	1	1	0	0	0	0	0	0	0	0
1155	Petite	86	5491	1	10	2468	768	Medium	Dragon	Earth	1	12	19	1	0	0	1	1	0	0	0	0	0	0	0	0
1156	Petite	79	3197	1	10	1872	672	Medium	Dragon	Wind	1	12	19	1	0	0	1	1	0	0	0	0	0	0	0	0
1157	Pharaoh	85	900000	1	10	868	768	Large	Demi-Human	Shadow	3	12	21	1	0	0	1	1	1	1	1	1	0	0	0	0
1158	Phen	52	1716	1	10	2544	1344	Medium	Fish	Water	2	12	17	0	0	0	1	1	0	0	0	0	0	0	0	0
1159	Phreeoni	71	300000	1	10	1020	1020	Large	Brute	Neutral	3	12	21	1	0	0	1	1	1	1	1	1	0	0	0	0
1160	Piere	32	508	1	10	1288	288	Small	Insect	Earth	1	12	01	0	0	0	1	0	0	0	0	1	0	0	0	0
1161	Plankton	40	933	1	10	2208	1008	Small	Plant	Water	3	12	01	0	0	0	1	0	0	0	0	0	0	0	0	0
1162	Rafflesia	86	4942	3	10	512	528	Small	Plant	Earth	1	12	05	1	0	0	1	0	0	0	0	0	0	0	0	0
1163	Raydric	115	21981	1	10	824	780	Large	Demi-Human	Shadow	2	12	19	1	0	0	1	1	0	0	0	0	0	0	0	0
1164	Requiem	71	3251	1	10	1516	816	Medium	Demi-Human	Shadow	1	12	04	1	0	0	1	0	0	0	0	0	0	0	0	0
1165	Sandman	61	2324	1	10	1672	720	Medium	Formless	Earth	3	12	04	1	0	0	1	0	0	0	0	0	0	0	0	0
1166	Savage	59	2158	1	10	1960	960	Large	Brute	Earth	2	12	17	0	0	0	1	1	0	0	0	0	0	0	0	0
1167	Savage Babe	14	127	1	10	1624	624	Small	Brute	Earth	1	12	01	0	0	0	1	0	0	0	0	0	0	0	0	0
1169	Skeleton Worker	44	1151	1	10	2420	720	Medium	Undead	Undead	1	12	04	1	0	0	1	0	0	0	0	0	0	0	0	0
1170	Sohee	64	2528	1	10	2112	912	Medium	Demon	Water	1	12	17	0	0	0	1	1	0	0	0	1	0	0	0	0
1174	Stainer	21	212	1	10	1688	1188	Small	Insect	Wind	1	12	17	0	0	0	1	1	0	0	0	1	0	0	0	0
1175	Tarou	22	285	1	10	1744	1044	Small	Brute	Shadow	1	12	17	0	0	0	1	1	0	0	0	0	0	0	0	0
1176	Vitata	35	597	1	10	1768	768	Small	Insect	Earth	1	12	17	0	0	0	1	1	0	0	0	1	0	0	0	0
1177	Zenorc	54	1757	1	10	1180	480	Medium	Demi-Human	Shadow	1	12	02	0	1	0	1	0	0	0	0	0	0	0	0	0
1178	Zerom	70	2429	1	10	1780	1080	Medium	Demi-Human	Fire	1	12	04	1	0	0	1	0	0	0	0	0	0	0	0	0
1179	Whisper	46	796	1	10	1960	960	Small	Demon	Ghost	3	12	19	1	0	0	1	1	0	0	0	1	0	0	0	0
1180	Nine Tail	72	2422	1	10	840	540	Medium	Brute	Fire	3	12	21	1	0	0	1	1	1	0	0	0	0	0	0	0
1182	Thief Mushroom	1	15	1	7	1	1	Small	Plant	Earth	1	12	06	0	0	0	0	0	0	0	1	0	1	1	1	1
1183	Chonchon	5	63	1	10	1076	576	Small	Insect	Wind	1	12	04	1	0	0	1	0	0	0	0	1	0	0	0	0
1184	Fabre	1	30	1	10	1672	672	Small	Insect	Earth	1	12	04	1	0	0	1	0	0	0	0	1	0	0	0	0
1185	Whisper	34	1796	1	10	1960	960	Small	Undead	Ghost	1	12	06	0	0	0	0	0	0	0	0	0	0	0	0	0
1186	Giant Whisper	66	2570	1	10	2536	1536	Small	Demon	Ghost	2	12	21	1	0	0	1	1	1	0	0	1	0	0	0	0
1188	Bongun	59	2065	1	10	1720	500	Medium	Undead	Undead	1	12	19	1	0	0	1	1	0	0	0	0	0	0	0	0
1189	Orc Archer	78	3474	9	10	1960	620	Medium	Demi-Human	Earth	1	12	19	1	0	0	1	1	0	0	0	0	0	0	0	0
1190	Orc Lord	55	552000	1	10	1248	500	Large	Demi-Human	Earth	4	12	21	1	0	0	1	1	1	1	1	1	0	0	0	0
1191	Mimic	56	1707	1	10	972	500	Medium	Formless	Neutral	3	12	19	1	0	0	1	1	0	0	0	0	0	0	0	0
1192	Wraith	77	4415	1	10	1816	576	Large	Undead	Undead	4	12	21	1	0	0	1	1	1	0	0	0	0	0	0	0
1193	Alarm	88	5664	1	10	1020	500	Medium	Formless	Neutral	3	12	21	1	0	0	1	1	1	0	0	0	0	0	0	0
1194	Arclouze	107	14944	1	10	960	500	Medium	Insect	Earth	2	12	19	1	0	0	1	1	0	0	0	1	0	0	0	0
1195	Rideword	74	2855	1	10	864	500	Small	Formless	Neutral	3	12	21	1	0	0	1	1	1	0	0	0	0	0	0	0
1196	Skeleton Prisoner	91	8378	1	10	1848	500	Medium	Undead	Undead	3	12	13	1	0	1	1	0	0	0	0	0	0	0	0	0
1197	Zombie Prisoner	89	6902	1	10	1768	500	Medium	Undead	Undead	3	12	13	1	0	1	1	0	0	0	0	0	0	0	0	0
1198	Dark Priest	98	10843	2	10	864	1252	Medium	Demon	Undead	4	12	13	1	0	1	1	0	0	0	0	1	0	0	0	0
1199	Punk	82	3498	1	10	1500	500	Small	Plant	Wind	1	12	19	1	0	0	1	1	0	0	0	0	0	0	0	0
1200	Zealotus	105	61350	1	10	800	2112	Medium	Demi-Human	Neutral	3	12	13	1	0	1	1	0	0	0	0	0	0	0	0	0
1201	Rybio	98	9939	1	10	1790	1440	Large	Demon	Neutral	2	12	13	1	0	1	1	0	0	0	0	1	0	0	0	0
1202	Phendark	102	12408	2	10	1744	1344	Large	Demi-Human	Neutral	2	12	13	1	0	1	1	0	0	0	0	0	0	0	0	0
1203	Mysteltainn	130	70000	2	10	1152	500	Large	Formless	Shadow	4	12	21	1	0	0	1	1	1	0	1	1	0	0	0	0
1204	Ogretooth	114	59000	1	10	816	500	Medium	Formless	Shadow	3	12	21	1	0	0	1	1	1	0	1	1	0	0	0	0
1205	Executioner	101	40200	2	10	768	500	Large	Formless	Shadow	2	12	21	1	0	0	1	1	1	0	1	1	0	0	0	0
1206	Anolian	109	16615	1	10	900	500	Medium	Fish	Water	2	12	21	1	0	0	1	1	1	0	0	0	0	0	0	0
1207	Sting	104	12633	1	10	528	500	Medium	Formless	Earth	3	12	21	1	0	0	1	1	1	0	0	0	0	0	0	0
1208	Wanderer	120	20806	2	10	672	500	Medium	Demon	Wind	1	12	21	1	0	0	1	1	1	0	0	1	0	0	0	0
1209	Cramp	82	3935	1	10	1000	500	Small	Brute	Poison	2	12	19	1	0	0	1	1	0	0	0	0	0	0	0	0
1211	Brilight	71	2366	1	10	1500	500	Small	Insect	Fire	1	12	19	1	0	0	1	1	0	0	0	1	0	0	0	0
1212	Iron Fist	47	4221	1	10	1500	500	Medium	Insect	Neutral	3	12	19	1	0	0	1	1	0	0	0	1	0	0	0	0
1213	High Orc	81	4077	1	10	1500	500	Large	Demi-Human	Fire	2	12	21	1	0	0	1	1	1	0	0	0	0	0	0	0
1214	Choco	48	985	1	10	1028	528	Small	Brute	Fire	1	12	19	1	0	0	1	1	0	0	0	0	0	0	0	0
1215	Stem Worm	84	4084	1	10	1956	756	Medium	Plant	Wind	1	12	19	1	0	0	1	1	0	0	0	0	0	0	0	0
1216	Penomena	85	4621	7	10	832	500	Medium	Fish	Poison	1	12	21	1	0	0	1	1	1	0	0	0	0	0	0	0
1219	Abysmal Knight	122	34686	1	10	1500	500	Large	Demi-Human	Shadow	4	12	21	1	0	0	1	1	1	0	0	0	0	0	0	0
