# map noteleport noreturn
te_aldecas3 1 0
te_aldecas4 1 0
te_aldecas5 1 0
te_prtcas01 1 0
te_prtcas02 1 0
te_prtcas03 1 0
te_prtcas04 1 0
te_prtcas05 1 0
tha_t07 1 0
tha_t08 1 0
tha_t09 1 0
tha_t10 1 0
tha_t11 1 0
tha_t12 1 0
thana_step 1 0
thor_camp 1 0
turbo_e_16 1 0
turbo_e_4 1 0
turbo_e_8 1 0
turbo_n_1 1 0
turbo_n_16 1 0
turbo_n_4 1 0
turbo_n_8 1 0
turbo_room 1 0
um_in 1 0
un_bk_q 1 0
un_myst 1 0
ve_in 1 0
ve_in02 1 0
verus04 1 0
xmas_in 1 0
y_airport 1 0
yuno 1 0
yuno_in01 1 0
yuno_in02 1 0
yuno_in03 1 0
yuno_in04 1 0
yuno_in05 1 0
yuno_pre 1 0
