EFST_PROVOKE 挑衅状态
EFST_PROVIDENCE 神佑之光状态
EFST_DEFENDER 光之盾状态
EFST_WEAPONPROPERTY 赋与武器属性状态(肯贝特)
EFST_AUTOSPELL 自动念咒状态
EFST_SPECIALZONE 特殊领域
EFST_MASK 兽人脸
EFST_SPEARQUICKEN 长矛加速术状态
EFST_BDPLAYING
EFST_WHISTLE 吹口哨状态
EFST_ASSASSINCROSS 刺客的黄昏状态
EFST_POEMBRAGI 布莱奇之诗状态
EFST_APPLEIDUN 伊登的苹果状态
EFST_HUMMING 哼唱之音状态
EFST_DONTFORGETME 勿忘我状态
EFST_FORTUNEKISS 女神之吻状态
EFST_SERVICEFORYOU 为您服务状态
EFST_RICHMANKIM 经验值倍增状态
EFST_ETERNALCHAOS 永远的混沌状态
EFST_DRUMBATTLEFIELD 战鼓震天状态
EFST_RINGNIBELUNGEN 尼贝隆根之戒指状态
EFST_ROKISWEIL 洛奇的悲鸣状态
EFST_INTOABYSS 触媒之所状态
EFST_SIEGFRIED 不死神齐格弗里德状态
EFST_BLADESTOP 真剑百破道状态
EFST_EXPLOSIONSPIRITS 爆气状态
EFST_STEELBODY 金刚不坏状态
EFST_EXTREMITYFIST 阿修罗霸凰拳状态
EFST_COMBOATTACK 连续技准备状态(六合拳)
EFST_PROPERTYFIRE 火焰属性附加
EFST_PROPERTYWATER 水属性附加
EFST_PROPERTYWIND 风属性附加
EFST_PROPERTYGROUND 地属性附加
EFST_STOP 停止状态
EFST_WEAPONBRAKER 破坏武器状态
EFST_PROPERTYUNDEAD 不死属性附加
EFST_POWERUP
EFST_AGIUP
EFST_SIEGEMODE 围攻模式状态
EFST_INVISIBLE 潜行状态
EFST_STATUSONE
EFST_AURABLADE 灵气剑状态
EFST_PARRYING 双剑格挡状态
EFST_LKCONCENTRATION 集中攻击状态
EFST_TENSIONRELAX 极速回复状态
EFST_BERSERK 狂怒之枪状态
EFST_SACRIFICE 舍命攻击状态
EFST_GOSPEL 圣音状态
EFST_ASSUMPTIO 圣母之祈福状态
EFST_BASILICA 神圣殿堂状态
EFST_GROUNDMAGIC
EFST_MAGICPOWER 魔力增幅状态
EFST_EDP 致命涂毒状态
EFST_TRUESIGHT 狙杀瞄准状态
EFST_WINDWALK 风之步状态
EFST_MELTDOWN 野蛮凶砍状态
EFST_CARTBOOST 手推车加速状态
EFST_CHASEWALK 暗影追踪状态
EFST_SWORDREJECT 霸王魂状态
EFST_MARIONETTE_MASTER 傀儡师的把戏(施展)状态
EFST_MARIONETTE 傀儡师的把戏状态
EFST_MOON 月光状态
EFST_BLOODING 出血状态
EFST_JOINTBEAT 巧打状态
EFST_MINDBREAKER 精神撼动状态
EFST_MEMORIZE 速读术状态
EFST_FOGWALL 薄雾墙状态
EFST_SPIDERWEB 易燃之网状态
EFST_PROTECTEXP 爸妈我爱您状态
EFST_SUB_WEAPONPROPERTY 怒爆状态
EFST_AUTOBERSERK 狂暴状态
EFST_RUN 跑步状态
EFST_TING 跑步减速状态
EFST_STORMKICK_ON 回旋准备状态
EFST_STORMKICK_READY 回旋踢状态
EFST_DOWNKICK_ON 砸踢准备状态
EFST_DOWNKICK_READY 砸踢状态
EFST_TURNKICK_ON 踢准备状态
EFST_TURNKICK_READY 转身踢状态
EFST_COUNTER_ON 还击准备状态
EFST_COUNTER_READY 还击踢状态
EFST_DODGE_ON 落法状态
EFST_DODGE_READY 飞脚踢状态
EFST_STRUP 冲刺状态
EFST_PROPERTYDARK 赋予暗属性状态
EFST_ADRENALINE2 所有速度激发状态
EFST_PROPERTYTELEKINESIS 赋予念属性状态
EFST_SOULLINK 灵魂状态
EFST_PLUSATTACKPOWER 攻击力增加(雄黄酒)
EFST_PLUSMAGICPOWER 魔法攻击力增加(艾草)
EFST_DEVIL1 太阳和月亮和星星的恶魔状态
EFST_KAITE 魔法反射状态(凯易特)
EFST_SWOO 魔物变小移动降低状态(艾斯诬)
EFST_STAR2
EFST_KAIZEL 可立即复活状态(凯易哲)
EFST_KAAHI 受物理伤害消耗SP恢复Hp状态(凯阿希)
EFST_KAUPE 物理攻击回避一次状态(凯诬仆)
EFST_SMA_READY 可咏唱艾斯麻状态
EFST_SKE 魔物攻击力X4防御力%2状态(艾斯克)
EFST_ONEHANDQUICKEN 单手剑攻击速度增加状态
EFST_FRIEND 太阳和月亮和星星的朋友状态
EFST_FRIENDUP
EFST_SG_SUN_WARM 太阳的温暖状态
EFST_SG_MOON_WARM 月亮的温暖状态
EFST_SG_STAR_WARM 星星的温暖状态
EFST_EMOTION 显示表情
EFST_SUN_COMFORT 太阳的平安感状态
EFST_MOON_COMFORT 月亮的平安感状态
EFST_STAR_COMFORT 星星的平安感状态
EFST_EXPUP
EFST_GDSKILL_BATTLEORDER 下达战斗命令状态
EFST_GDSKILL_REGENERATION 复兴公会员体力状态
EFST_GDSKILL_POSTDELAY
EFST_RESISTHANDICAP
EFST_MAXHPPERCENT 最大HP百分比状态
EFST_MAXSPPERCENT 最大SP百分比状态
EFST_DEFENCE 圣音状态
EFST_SLOWDOWN
EFST_PRESERVE 自由保护状态
EFST_CHASEWALK2 STR增加状态
EFST_NOT_EXTREMITYFIST 无 阿修罗霸凰拳状态
EFST_CLAIRVOYANCE 侦测隐形状态
EFST_MOVESLOW_POTION 移动速度减缓状态
EFST_DOUBLECASTING 双倍投掷状态
EFST_GRAVITATION 重力原野状态
EFST_OVERTHRUSTMAX 凶砍最大值状态
EFST_LONGING 不要拘束我状态
EFST_HERMODE 海罗默德的手杖状态
EFST_TAROTCARD 命运的塔罗牌状态
EFST_HLIF_AVOID 轻捷移动状态
EFST_HFLI_FLEET 横越速度状态
EFST_HFLI_SPEED 紧急回避状态
EFST_HLIF_CHANGE 智力变换状态
EFST_HAMI_BLOODLUST 血的贪求状态
EFST_CR_SHRINK 退缩状态
EFST_WZ_SIGHTBLASTER 火狩芽状态
EFST_DC_WINKCHARM 眨眼之诱状态
EFST_RG_CCONFINE_M 紧密的约束状态
EFST_RG_CCONFINE_S 紧密的约束状态
EFST_DISABLEMOVE
EFST_GS_MADNESSCANCEL 疯狂凯斯乐状态
EFST_GS_GATLINGFEVER 格林狂热状态
EFST_EARTHSCROLL 快乐的休息状态
EFST_NJ_UTSUSEMI 金蝉脱壳状态
EFST_NJ_BUNSINJYUTSU 幻影分身状态
EFST_NJ_NEN 念状态
EFST_GS_ADJUSTMENT 终极闪躲状态
EFST_GS_ACCURACY 命中率递增状态
EFST_NJ_SUITON 水钝状态
EFST_PET 宠物状态
EFST_MENTAL 精神控制状态
EFST_EXPMEMORY
EFST_PERFORMANCE
EFST_GAIN 获得经验状态
EFST_GRIFFON 狮鹫兽搭乘中
EFST_DRIFT 漂流状态
EFST_WALLSHIFT 变形墙状态
EFST_REINCARNATION 重生状态
EFST_PATTACK 袭击状态
EFST_PSPEED 加速状态
EFST_PDEFENSE 防御状态
EFST_PCRITICAL 暴击状态
EFST_RANKING 排列状态
EFST_PTRIPLE 三倍状态
EFST_DENERGY
EFST_WAVE1
EFST_WAVE2
EFST_WAVE3
EFST_WAVE4
EFST_DAURA
EFST_DFREEZER
EFST_DPUNISH
EFST_DBARRIER
EFST_DWARNING
EFST_MOUSEWHEEL
EFST_DGAUGE
EFST_DACCEL
EFST_DBLOCK
EFST_FOOD_STR STR提升状态
EFST_FOOD_AGI AGI提升状态
EFST_FOOD_VIT VIT提升状态
EFST_FOOD_DEX DEX提升状态
EFST_FOOD_INT INT提升状态
EFST_FOOD_LUK LUK提升状态
EFST_FOOD_BASICAVOIDANCE 回避率提升状态
EFST_FOOD_BASICHIT 命中率提升状态
EFST_FOOD_CRITICALSUCCESSVALUE 必杀攻击率提升状态
EFST_CASH_PLUSEXP 经验值加倍状态
EFST_CASH_DEATHPENALTY 死亡时经验值不会损失状态
EFST_CASH_RECEIVEITEM 掉宝率倍增状态
EFST_CASH_BOSS_ALARM MVP雷达状态
EFST_DA_黑暗搜集者 能量状态
EFST_DA_FIRSTSLOT 黑暗搜集者 最初幻想状态
EFST_DA_HEADDEF 黑暗搜集者 头部防御状态
EFST_DA_SPACE 黑暗搜集者 暮光状态
EFST_DA_TRANSFORM 黑暗搜集者 变形状态
EFST_DA_ITEMREBUILD 黑暗搜集者 物品 重组状态
EFST_DA_ILLUSION 黑暗搜集者 幻觉状态
EFST_DA_DARKPOWER 黑暗搜集者 黑暗灵魂之力状态
EFST_DA_EARPLUG 黑暗搜集者 耳塞状态
EFST_DA_CONTRACT 黑暗搜集者 宝石 契约状态
EFST_DA_BLACK 黑暗搜集者 宝石 魔法状态
EFST_DA_MAGICCART 黑暗搜集者 魔法手推车状态
EFST_CRYSTAL 暴击状态
EFST_DA_REBUILD 黑暗搜集者 人体 重建状态
EFST_DA_EDARKNESS 黑暗搜集者 华丽金属 黑暗状态
EFST_DA_EGUARDIAN 黑暗搜集者 华丽金属 守卫状态
EFST_DA_TIMEOUT 黑暗搜集者 超时状态
EFST_FOOD_STR_CASH STR提升
EFST_FOOD_AGI_CASH AGI提升
EFST_FOOD_VIT_CASH VIT提升
EFST_FOOD_DEX_CASH DEX提升
EFST_FOOD_INT_CASH INI提升
EFST_FOOD_LUK_CASH LUK提升
EFST_MER_FLEE FLEE提升状态
EFST_MER_ATK ATK提升状态
EFST_MER_HP HP提升状态
EFST_MER_SP SP提升状态
EFST_MER_HIT HIT提升状态
EFST_SLOWCAST 咏唱减缓状态
EFST_MAGICMIRROR 魔术之镜状态
EFST_STONESKIN 钢筋铁骨状态
EFST_ANTIMAGIC 反魔法状态
EFST_CRITICALWOUND 致命伤口状态
EFST_NPC_DEFENDER 光之盾状态
EFST_NOACTION_WAIT
EFST_MOVHASTE_HORSE 督察凭证状态
EFST_PROTECT_DEF 物理防御药水状态
EFST_PROTECT_MDEF 魔法防御药水状态
EFST_HEALPLUS 恢复力提升药水状态
EFST_S_LIFEPOTION 小型生命水状态
EFST_L_LIFEPOTION 中型生命水状态
EFST_CRITICALPERCENT 研磨剂状态
EFST_PLUSAVOIDVALUE 幻影的酒杯状态
EFST_ATKER_ASPD
EFST_TARGET_ASPD 
EFST_ATKER_MOVESPEED
EFST_ATKER_BLOOD SP 消耗量减少药水状态
EFST_TARGET_BLOOD 异常状态抵抗药水状态
EFST_ARMOR_PROPERTY 属性变化卷轴状态
EFST_REUSE_LIMIT_A
EFST_HELLPOWER 地狱之权威状态
EFST_STEAMPACK
EFST_REUSE_LIMIT_B 物品冷却状态
EFST_REUSE_LIMIT_C 物品冷却状态
EFST_REUSE_LIMIT_D 物品冷却状态
EFST_REUSE_LIMIT_E 物品冷却状态
EFST_REUSE_LIMIT_F 物品冷却状态
EFST_INVINCIBLE
EFST_CASH_PLUSONLYJOBEXP Job经验增加1.5倍状态
EFST_PARTYFLEE 回避率增加状态
EFST_ANGEL_PROTECT
EFST_ENDURE_MDEF
EFST_ENCHANTBLADE 魔力剑状态
EFST_DEATHBOUND 死亡反弹状态
EFST_REFRESH 恢复状态
EFST_GIANTGROWTH 力量成长状态
EFST_STONEHARDSKIN 岩石皮肤状态
EFST_VITALITYACTIVATION 生命激化状态
EFST_FIGHTINGSPIRIT 提升斗志状态
EFST_ABUNDANCE 丰足状态
EFST_REUSE_MILLENNIUMSHIELD 千年神盾冷却状态
EFST_REUSE_CRUSHSTRIKE 重击强袭冷却状态
EFST_REUSE_REFRESH 恢复冷却状态
EFST_REUSE_STORMBLAST 风暴冲击冷却状态
EFST_VENOMIMPRESS 毒耐性弱化状态
EFST_EPICLESIS 圣灵降临祈祷状态
EFST_ORATIO 祈祷文状态
EFST_LAUDAAGNUS 羔羊歌颂状态
EFST_LAUDARAMUS 折枝赞颂状态
EFST_CLOAKINGEXCEED 伪装强化状态
EFST_HALLUCINATIONWALK 幻影步状态
EFST_HALLUCINATIONWALK_POSTDELAY 幻影步延迟状态
EFST_RENOVATIO 净化状态
EFST_WEAPONBLOCKING 武器抵御状态
EFST_WEAPONBLOCKING_POSTDELAY 武器抵御延迟状态
EFST_ROLLINGCUTTER 回旋刀刃状态
EFST_EXPIATIO 赎罪状态
EFST_POISONINGWEAPON 剧毒武器状态
EFST_TOXIN 麻醉之毒状态
EFST_PARALYSE 麻痹之毒状态
EFST_VENOMBLEED 衰弱之毒状态
EFST_MAGICMUSHROOM 狂笑之毒状态
EFST_DEATHHURT 污染之毒状态
EFST_PYREXIA 热病之毒状态
EFST_OBLIVIONCURSE 失忆之毒状态
EFST_LEECHESEND 吸血之毒状态
EFST_DUPLELIGHT 二道圣光状态
EFST_FROSTMISTY 结冰状态
EFST_FEARBREEZE 微风恐惧状态
EFST_ELECTRICSHOCKER 电击陷阱状态
EFST_MARSHOFABYSS 深渊沼地状态
EFST_RECOGNIZEDSPELL 魔法省悟状态
EFST_STASIS 魔力冻结状态
EFST_WUGRIDER 骑狼术状态
EFST_WUGDASH 疾狼术状态
EFST_WUGBITE 狼咬状态
EFST_CAMOUFLAGE 伪装战术状态
EFST_ACCELERATION 魔导机甲加速状态
EFST_HOVERING 悬停状态
EFST_SUMMON1 属性球状态
EFST_SUMMON2 属性球状态
EFST_SUMMON3 属性球状态
EFST_SUMMON4 属性球状态
EFST_SUMMON5 属性球状态
EFST_MVPCARD_TAOGUNKA 塔奥群卡卷轴状态
EFST_MVPCARD_MISTRESS 蜂后卷轴状态
EFST_MVPCARD_ORCHERO 兽人英雄卷轴状态
EFST_MVPCARD_ORCLORD 兽人酋长卷轴状态
EFST_OVERHEAT_LIMITPOINT 极限过热状态
EFST_OVERHEAT 过热状态
EFST_SHAPESHIFT 形态转换状态
EFST_INFRAREDSCAN 红外线扫瞄状态
EFST_MAGNETICFIELD 磁场状态
EFST_NEUTRALBARRIER 中性防护罩状态
EFST_NEUTRALBARRIER_MASTER 中性防护罩(施展)状态
EFST_STEALTHFIELD 隐形力场状态
EFST_STEALTHFIELD_MASTER 隐形力场(施展)状态
EFST_MANU_ATK 魔怒克的良机状态
EFST_MANU_DEF 魔怒克的意志状态
EFST_SPL_ATK 捕虫堇妖果酱状态
EFST_SPL_DEF 鲁修拉的蜜酱
EFST_REPRODUCE 繁殖状态
EFST_MANU_MATK 魔怒克的信念状态
EFST_SPL_MATK 独角飞马之泪状态
EFST_STR_SCROLL STR提升
EFST_INT_SCROLL INT提升
EFST_LG_REFLECTDAMAGE 反射伤害状态
EFST_FORCEOFVANGUARD 先锋部队状态
EFST_BUCHEDENOEL 圣诞节巧克力圈蛋糕状态
EFST_AUTOSHADOWSPELL 自动魅影念咒状态
EFST_SHADOWFORM 魅影形态状态
EFST_RAID 潜击状态
EFST_SHIELDSPELL_DEF 盾咒 - 防状态
EFST_SHIELDSPELL_MDEF 盾咒 - 魔状态
EFST_SHIELDSPELL_REF 盾咒 - 炼状态
EFST_BODYPAINT 人体彩绘状态
EFST_EXEEDBREAK 强化冲击状态
EFST_ADORAMUS 讴歌状态
EFST_PRESTIGE 威信状态
EFST_INVISIBILITY 透明术状态
EFST_DEADLYINFECT 致命感染状态
EFST_BANDING 聚集状态
EFST_EARTHDRIVE 大地毁灭状态
EFST_INSPIRATION 灵感状态
EFST_ENERVATION 面具-无力状态
EFST_GROOMY 面具-忧郁状态
EFST_RAISINGDRAGON 潜龙升天状态
EFST_IGNORANCE 面具-无知状态
EFST_LAZINESS 面具-懒散状态
EFST_LIGHTNINGWALK 闪电步状态
EFST_ACARAJE 阿卡拉杰油炸饼状态
EFST_UNLUCKY 面具-不幸状态
EFST_CURSEDCIRCLE_ATKER 咒缚阵_攻击
EFST_CURSEDCIRCLE_TARGET 咒缚阵_目标
EFST_WEAKNESS 面具-衰弱状态
EFST_CRESCENTELBOW 破碎柱状态
EFST_NOEQUIPACCESSARY 无装备配件状态
EFST_STRIPACCESSARY 卸除配件状态
EFST_MANHOLE 人孔状态
EFST_POPECOOKIE 教皇饼干状态
EFST_FALLENEMPIRE 大缠崩坠状态
EFST_GENTLETOUCH_ENERGYGAIN 点穴-救状态
EFST_GENTLETOUCH_CHANGE 点穴-反状态
EFST_GENTLETOUCH_REVITALIZE 点穴-活状态
EFST_BLOODYLUST 血腥欲望状态
EFST_SWING 摇摆舞状态
EFST_SYMPHONY_LOVE 恋人交响乐状态
EFST_PROPERTYWALK
EFST_SPELLFIST 魔力拳状态
EFST_NETHERWORLD 绝望之歌状态
EFST_SIREN 塞壬之音状态
EFST_DEEP_SLEEP 沉睡摇篮曲状态
EFST_SIRCLEOFNATURE 循环的大自然之音状态
EFST_COLD 液体冷却弹状态
EFST_GLOOMYDAY 羞怯一天的忧郁状态
EFST_SONG_OF_MANA 魔力之歌状态
EFST_CLOUD_KILL 云杀状态
EFST_DANCE_WITH_WUG 与狼共舞状态
EFST_RUSH_WINDMILL 朝风车突击状态
EFST_ECHOSONG 回音之歌状态
EFST_HARMONIZE 和声演奏状态
EFST_STRIKING 打击强化状态
EFST_WARMER 加热器状态
EFST_MOONLIT_SERENADE 月光小夜曲状态
EFST_SATURDAY_NIGHT_FEVER 狂欢周末夜状态
EFST_SITDOWN_FORCE
EFST_ANALYZE 解析状态
EFST_LERADS_DEW 雷拉多露水状态
EFST_MELODYOFSINK 消沈旋律状态
EFST_BEYOND_OF_WARCRY 战嚎的彼端状态
EFST_UNLIMITED_HUMMING_VOICE 无限哼唱声状态
EFST_SPELLBOOK1 第一魔法书状态
EFST_SPELLBOOK2 第二魔法书状态
EFST_SPELLBOOK3 第三魔法书状态
EFST_FREEZE_SP 魔法保存状态
EFST_GN_TRAINING_SWORD 单手剑使用熟练度状态
EFST_GN_REMODELING_CART 手推车改良状态
EFST_GN_CARTBOOST 手推车加速状态
EFST_FIXEDCASTINGTM_REDUCE
EFST_THORNS_TRAP 荆棘陷阱状态
EFST_BLOOD_SUCKER 吸血植物状态
EFST_SPORE_EXPLOSION 爆炸孢子状态
EFST_DEMONIC_FIRE 恶魔火焰状态
EFST_FIRE_EXPANSION_SMOKE_POWDER 火焰扩散 (烟幕弹)状态
EFST_FIRE_EXPANSION_TEAR_GAS 火焰扩散 (催泪瓦斯)状态
EFST_BLOCKING_PLAY
EFST_MANDRAGORA 曼陀罗魔花的尖叫状态
EFST_ACTIVATE
EFST_AB_SECRAMENT 圣典状态
EFST_ASSUMPTIO2 圣母之祈福二状态
EFST_TK_SEVENWIND 温暖的风状态
EFST_LIMIT_ODINS_RECALL 奥丁的召唤冷却状态
EFST_STOMACHACHE 腹痛状态
EFST_MYSTERIOUS_POWDER 神秘能量状态
EFST_MELON_BOMB 哈密瓜炸弹状态
EFST_BANANA_BOMB_SITDOWN_POSTDELAY
EFST_PROMOTE_HEALTH_RESERCH HP增加药水(大)状态
EFST_ENERGY_DRINK_RESERCH
EFST_EXTRACT_WHITE_POTION_Z
EFST_VITATA_500
EFST_EXTRACT_SALAMINE_JUICE 攻速增加浓缩汁状态
EFST_BOOST500
EFST_FULL_SWING_K
EFST_MANA_PLUS
EFST_MUSTLE_M
EFST_LIFE_FORCE_F
EFST_VACUUM_EXTREME 极限空虚状态
EFST_SAVAGE_STEAK 烤小野猪排状态
EFST_COCKTAIL_WARG_BLOOD 鸡尾酒狼血状态
EFST_MINOR_BBQ 米洛斯烧烤状态
EFST_SIROMA_ICE_TEA 小雪兽冰茶状态
EFST_DROCERA_HERB_STEAMED 捕虫草药草煎状态
EFST_PUTTI_TAILS_NOODLES 毕帝特龙尾面状态
EFST_BANANA_BOMB 香蕉炸弹状态
EFST_SUMMON_AGNI
EFST_SPELLBOOK4 第四魔法书状态
EFST_SPELLBOOK5 第五魔法书状态
EFST_SPELLBOOK6 第六魔法书状态
EFST_SPELLBOOK7 第七魔法书状态
EFST_ELEMENTAL_AGGRESSIVE
EFST_RETURN_TO_ELDICASTES 返回艾尔迪卡斯特状态
EFST_BANDING_DEFENCE
EFST_SKELSCROLL
EFST_DISTRUCTIONSCROLL
EFST_ROYALSCROLL
EFST_IMMUNITYSCROLL
EFST_MYSTICSCROLL
EFST_BATTLESCROLL
EFST_ARMORSCROLL
EFST_FREYJASCROLL
EFST_SOULSCROLL
EFST_CIRCLE_OF_FIRE 绝对零度状态
EFST_CIRCLE_OF_FIRE_OPTION
EFST_FIRE_CLOAK 急速降温状态
EFST_FIRE_CLOAK_OPTION
EFST_WATER_SCREEN 水之守护状态
EFST_WATER_SCREEN_OPTION
EFST_WATER_DROP 大豪雨状态
EFST_WATER_DROP_OPTION
EFST_WIND_STEP 风之闪现状态
EFST_WIND_STEP_OPTION
EFST_WIND_CURTAIN 风之魂状态
EFST_WIND_CURTAIN_OPTION
EFST_WATER_BARRIER 水之屏障状态
EFST_ZEPHYR 风之结界状态
EFST_SOLID_SKIN 皮肤固化状态
EFST_SOLID_SKIN_OPTION
EFST_STONE_SHIELD 岩石盾状态
EFST_STONE_SHIELD_OPTION
EFST_POWER_OF_GAIA 天神下凡状态
EFST_EL_WAIT
EFST_EL_PASSIVE
EFST_EL_DEFENSIVE
EFST_EL_OFFENSIVE
EFST_EL_COST
EFST_PYROTECHNIC 烈焰强化状态
EFST_PYROTECHNIC_OPTION
EFST_HEATER 急速升温状态
EFST_HEATER_OPTION
EFST_TROPIC 灼热地带状态
EFST_TROPIC_OPTION
EFST_AQUAPLAY 冰封领域状态
EFST_AQUAPLAY_OPTION
EFST_COOLER 急速降温状态
EFST_COOLER_OPTION
EFST_CHILLY_AIR 绝对零度状态
EFST_CHILLY_AIR_OPTION
EFST_GUST 雷电强化状态
EFST_GUST_OPTION
EFST_BLAST 风暴冲击状态
EFST_BLAST_OPTION
EFST_WILD_STORM 荒野风暴状态
EFST_WILD_STORM_OPTION
EFST_PETROLOGY 岩石领域状态
EFST_PETROLOGY_OPTION
EFST_CURSED_SOIL 诅咒之地状态
EFST_CURSED_SOIL_OPTION
EFST_UPHEAVAL 天崩地裂状态
EFST_UPHEAVAL_OPTION
EFST_TIDAL_WEAPON 海啸武器状态
EFST_TIDAL_WEAPON_OPTION
EFST_ROCK_CRUSHER 碎石状态
EFST_ROCK_CRUSHER_ATK 碎石状态~
EFST_FIRE_INSIGNIA 火之纹章状态
EFST_WATER_INSIGNIA 水之纹章状态
EFST_WIND_INSIGNIA 地之纹章状态
EFST_EARTH_INSIGNIA 风之纹章状态
EFST_EQUIPED_FLOOR
EFST_GUARDIAN_RECALL
EFST_MORA_BUFF
EFST_REUSE_LIMIT_G
EFST_REUSE_LIMIT_H
EFST_NEEDLE_OF_PARALYZE
EFST_PAIN_KILLER
EFST_G_LIFEPOTION
EFST_VITALIZE_POTION
EFST_LIGHT_OF_REGENE
EFST_OVERED_BOOST
EFST_SILENT_BREEZE
EFST_ODINS_POWER 奥丁能量状态
EFST_STYLE_CHANGE
EFST_SONIC_CLAW_POSTDELAY
EFST_SILVERVEIN_RUSH_POSTDELAY
EFST_MIDNIGHT_FRENZY_POSTDELAY
EFST_GOLDENE_FERSE
EFST_ANGRIFFS_MODUS
EFST_TINDER_BREAKER
EFST_TINDER_BREAKER_POSTDELAY
EFST_CBC
EFST_CBC_POSTDELAY
EFST_EQC
EFST_MAGMA_FLOW
EFST_GRANITIC_ARMOR
EFST_PYROCLASTIC
EFST_VOLCANIC_ASH
EFST_SPIRITS_SAVEINFO1
EFST_SPIRITS_SAVEINFO2
EFST_MAGIC_CANDY
EFST_MACRO 自动练功系统使用状态
EFST_MACRO_POSTDELAY 自动练功系统延迟
EFST_BEER_BOTTLE_CAP
EFST_OVERLAPEXPUP
EFST_PC_IZ_DUN05
EFST_CRUSHSTRIKE
EFST_MONSTER_TRANSFORM 变身怪物状态
EFST_SIT 坐下状态
EFST_ONAIR
EFST_MTF_ASPD
EFST_MTF_RANGEATK
EFST_MTF_MATK
EFST_MTF_MLEATKED
EFST_MTF_CRIDAMAGE
EFST_REUSE_LIMIT_MTF
EFST_MACRO_PERMIT
EFST_MACRO_PLAY
EFST_SKF_CAST 变动咏唱时间减少5%状态
EFST_SKF_ASPD ASPD增加3%状态
EFST_SKF_ATK ATK增加24点状态
EFST_SKF_MATK MATK增加24点状态
EFST_REWARD_PLUSONLYJOBEXP 职业经验值倍增5%状态

EFST_Cash_Mounts 商城坐骑搭乘中
EFST_SPECIALZONE_SA_VOLCANO 火山爆发
EFST_SPECIALZONE_SA_VIOLENTGALE 风元素领域
EFST_SPECIALZONE_SA_DELUGE 水元素领域


#####################################################


MAPPROPERTY_SIEGE 地图为城战
MAPPROPERTY_EVENTPVPZONE 地图为活动PVP区域
MAPPROPERTY_TELEPORT 地图为可瞬间移动
MAPPROPERTY_CALLMONSTER 地图为可召唤魔物
MAPPROPERTY_FREEPVPZONE 地图为自由PVP区域
MAPPROPERTY_PK 地图为PK
MAPPROPERTY_DENYSKILL 地图为禁止使用技能
MAPPROPERTY_DENYSKILLZONE 地图为禁止使用技能区域
MAPPROPERTY_PARTY 地图为队伍
MAPPROPERTY_GUILD 地图为公会
MAPPROPERTY_EXP 地图为可获得经验值
MAPPROPERTY_NOTREMEMBER 地图为可记忆
MAPPROPERTY_DISCONNECT_NOTREMEMBER 地图为禁止记忆
MAPPROPERTY_USE_SIMPLE_EFFECT 地图为使用简单效果显示
MAPPROPERTY_DISABLE_LOCKON 地图为禁用目标锁定
MAPPROPERTY_AGITZONE 地图为无法记忆
